Title,Writers,Script URL,IMDB ID,Year,Rating,Genres,Director,Cast and Characters
10 Things I Hate About You,"['Karen McCullah Lutz', 'Kirsten Smith', 'William Shakespeare']",https://imsdb.com/scripts/10-Things-I-Hate-About-You.html,0147800,1999,7.3,"['Comedy', 'Drama', 'Romance']",Gil Junger,"           Actor/Actress                          Characters     Sex
0           Heath Ledger                    [Patrick Verona]    Male
1           Julia Stiles                     [Kat Stratford]  Female
2   Joseph Gordon-Levitt                     [Cameron James]    Male
3         Larisa Oleynik                  [Bianca Stratford]  Female
4        David Krumholtz                    [Michael Eckman]    Male
..                   ...                                 ...     ...
58             Mar Party                   [Frisbee Thrower]  Female
59           Andrew Rome                             [Nigel]    Male
60        Justin Thoemke                      [Football Kid]    Male
61           Jordan Watt                        [Coffee Kid]    Male
62            Jay Zorich  [Roland, High School Security Cop]    Male

[63 rows x 3 columns]"
12,['Lawrence Bridges'],https://imsdb.com/scripts/12.html,0192947,2003,7.7,"['Comedy', 'Music']",Lawrence Bridges,"         Actor/Actress                 Characters     Sex
0       Alison Elliott               [Marie-Noel]  Female
1         Tony Griffin             [Filmore West]    Male
2           Allen Lulu                    [Allen]    Male
3         Brenda Varda                     [Hera]  Female
4      Eugene Rubenzer                     [Zeus]     NaN
5      Blake Robertson                     [Monk]    Male
6        Golde Starger              [Aunt Debbie]     NaN
7         David Franco                      [Pan]    Male
8           Eddie Zona                   [Hermes]    Male
9       Julienne Greer                 [Julienne]  Female
10          Mike Upton               [Ranch Hand]    Male
11         Lili Barsha                [Aphrodite]  Female
12          Lisa Stark                [2nd Tutor]  Female
13    Mark Duke Dalton                   [H. Tom]    Male
14        Regina Leeds                [1st Tutor]  Female
15  Anthony T. Mazzola                   [Surfer]    Male
16       Nancy Langdon    [Nymph Chained to Rock]  Female
17          Dee Maaske       [Woman in Drugstore]  Female
18     Allison Gregory             [Woman in Bar]  Female
19      Jennifer Gundy             [Woman in car]  Female
20          Jeff Thiel                     [Twin]    Male
21         James Thiel                         []    Male
22     Richard Pollack         [Old Man at Ranch]    Male
23        John Tollsky             [Popping John]    Male
24   Richard Goldstone            [Allen's Agent]    Male
25     Karen Møller E.                  [Empusea]  Female
26          Toshi Toda  [Government Investigator]    Male
27         Mel Bridges          [Marie-Christine]    Male
28  Peter James Cooper                     [Pete]    Male
29     Richard Dutcher                 [Minister]    Male
30     Melissa Vinicor         [Girl on Car Hood]  Female"
12 and Holding,['Anthony Cipriano'],https://imsdb.com/scripts/12-and-Holding.html,0417385,2005,7.4,['Drama'],Michael Cuesta,"              Actor/Actress            Characters     Sex
0             Conor Donovan  [Jacob, Rudy Carges]    Male
1             Jesse Camacho      [Leonard Fisher]    Male
2            Zoe Weizenbaum        [Malee Chuang]  Female
3             Jeremy Renner        [Gus Maitland]    Male
4         Annabella Sciorra        [Carla Chuang]  Female
5            Jayne Atkinson       [Ashley Carges]  Female
6              Linus Roache          [Jim Carges]    Male
7            Marcia DeBonis        [Grace Fisher]  Female
8               Tom McGowan      [Patrick Fisher]    Male
9          Michael C. Fuchs               [Kenny]    Male
10          Martin Campetta                [Jeff]    Male
11            Joseph Foster       [Keith Gardner]    Male
12                Max Miner               [Tommy]    Male
13  Noelle 'Parker' Present        [Haley Fisher]  Female
14            Jessica Sorto         [Sara Fisher]  Female
15             Adam LeFevre       [Gabe Artunion]    Male
16             Bruce Altman       [Coach Gilmore]    Male
17          Mark Linn-Baker          [Mr. Farmer]    Male
18               Julia Ryan    [Funeral Guest #1]  Female
19            Terry Walters    [Funeral Guest #2]    Male
20      Robertson Carricart              [Priest]    Male
21             Tony Roberts              [Doctor]    Male
22          Marcella Lowery               [Nurse]  Female
23            Jodie Markell             [Teacher]  Female
24              Bianca Ryan        [Singing Girl]  Female
25            Merritt Wever        [Debbie Poole]  Female
26     Michael A. Siravo IV          [Guitar Guy]    Male
27            Emilio Cuesta          [Kid in Red]    Male"
12 Monkeys,"['David Peoples', 'Janet Peoples']",https://imsdb.com/scripts/12-Monkeys.html,0114746,1995,8.0,"['Mystery', 'Sci-Fi', 'Thriller']",Terry Gilliam,"       Actor/Actress               Characters     Sex
0      Joseph Melito             [Young Cole]    Male
1       Bruce Willis             [James Cole]    Male
2           Jon Seda                   [Jose]    Male
3     Michael Chance               [Scarface]    Male
4    Vernon Campbell                   [Tiny]    Male
..               ...                      ...     ...
88        Renee Spei                  [Demon]  Female
89   Richard Stanley  [Man in Transit Lounge]    Male
90             Thang          [Monkey Member]    Male
91  Ruth Leon Weiman               [Traveler]  Female
92   Susan Wool-Rush               [Avid Fan]  Female

[93 rows x 3 columns]"
12 Years a Slave,['John Ridley'],https://imsdb.com/scripts/12-Years-a-Slave.html,2024544,2013,8.1,"['Biography', 'Drama', 'History']",Steve McQueen,"                Actor/Actress                Characters     Sex
0            Chiwetel Ejiofor         [Solomon Northup]    Male
1                Dwight Henry             [Uncle Abram]    Male
2              Dickie Gravois                [Overseer]    Male
3                  Bryan Batt            [Judge Turner]    Male
4                 Ashley Dyke                    [Anna]  Female
..                        ...                       ...     ...
94           Landon L. Turner              [Ford Slave]    Male
95  Justin Christopher Vaughn                    [Ezra]    Male
96                 Bob Walker  [Abolitionist Landowner]    Male
97  Caroline Grace Williamson           [Ford Daughter]  Female
98              Timothy Wyant       [Ford Lumber Buyer]    Male

[99 rows x 3 columns]"
127 Hours,"['Simon Beaufoy', 'Danny Boyle']",https://imsdb.com/scripts/127-Hours.html,1542344,2010,7.5,"['Biography', 'Drama']",Danny Boyle,"              Actor/Actress                           Characters     Sex
0              James Franco                       [Aron Ralston]    Male
1                 Kate Mara                             [Kristi]  Female
2             Amber Tamblyn                              [Megan]  Female
3                 Sean Bott                      [Aron's Friend]    Male
4           Koleman Stinger                         [Aron Age 5]    Male
5            Treat Williams                         [Aron's Dad]    Male
6             John Lawrence                              [Brian]    Male
7               Kate Burton                         [Aron's Mom]  Female
8   Bailee Michelle Johnson                       [Sonja Age 10]  Female
9             Parker Hadley                        [Aron Age 15]    Male
10           Clémence Poésy                               [Rana]  Female
11             Fenton Quinn                          [Blue John]    Male
12             Lizzy Caplan                              [Sonja]  Female
13        Peter Joshua Hull                        [Boy on Sofa]    Male
14        Pieter Jan Brugge                        [Eric Meijer]    Male
15         Rebecca C. Olson                     [Monique Meijer]  Female
16             Jeffrey Wood                        [Andy Meijer]    Male
17           Norman Lehnert                                [Dan]    Male
18                Xmas Lutu                [Helicopter Co-Pilot]    Male
19          Terry S. Mercer                   [Helicopter Pilot]    Male
20              Darin Scott                               [Zach]    Male
21               Johnny Ahn                     [Basketball Fan]    Male
22              Robert Bear                      [Aron's Friend]    Male
23              Adam Colvin                   [Summer Party Man]    Male
24               Luke Drake                      [Aron's Friend]    Male
25  Christopher K. Hagadone                     [Basketball Fan]     NaN
26          Elizabeth Hales                             [Patron]  Female
27          Zachary Haycock                           [Reporter]    Male
28            Kelly Higgins                                [Fan]    Male
29             Brad Johnson                    [Friend of Aaron]     NaN
30            Lonzo Liggins                           [Reporter]    Male
31         Samantha Marsden  [Media person, Basketball Game Fan]  Female
32           Kelsie Mathews                     [Basketball Fan]  Female
33              Amber Mccoy          [Bridesmaid & Girl in jeep]  Female
34                Kyle Paul                           [Best Man]    Male
35         Priscilla Poland                         [Bridesmaid]  Female
36             Aron Ralston                               [Self]    Male
37          Jessica Ralston                               [Self]  Female
38              Jordan Reed                      [Aron's Friend]    Male
39             Amy Savannah                     [Basketball Fan]  Female
40        Stacey Ann Turner                      [Aron's Friend]  Female"
1492: Conquest of Paradise,['Roslyne Bosch'],https://imsdb.com/scripts/1492-Conquest-of-Paradise.html,0103594,1992,6.4,"['Adventure', 'Biography', 'Drama']",Ridley Scott,"              Actor/Actress              Characters     Sex
0          Gérard Depardieu              [Columbus]    Male
1            Armand Assante               [Sanchez]    Male
2          Sigourney Weaver          [Queen Isabel]  Female
3                Loren Dean        [Older Fernando]    Male
4             Ángela Molina               [Beatrix]  Female
5              Fernando Rey              [Marchena]    Male
6           Michael Wincott                [Moxica]    Male
7              Tchéky Karyo                [Pinzon]    Male
8                Kevin Dunn        [Captain Mendez]    Male
9            Frank Langella             [Santangel]    Male
10            Mark Margolis             [Bobadilla]    Male
11              Kario Salem                [Arojaz]    Male
12        Billy L. Sullivan    [Fernando (aged 10)]    Male
13           John Heffernan          [Brother Buyl]    Male
14            Arnold Vosloo               [Guevara]    Male
15        Steven Waddington             [Bartolome]    Male
16  Fernando Guillén Cuervo               [Giacomo]    Male
17         José Luis Ferrer                [Alonso]    Male
18            Bercelio Moya                [Utapan]    Male
19         Juan Diego Botto                 [Diego]    Male
20             Achero Mañas            [Ship's Boy]    Male
21   Fernando García Rimada        [King Ferdinand]    Male
22             Albert Vidal  [Hernando de Talavera]    Male
23             Isabel Prinz                [Duenna]  Female
24             Ángela Rosal         [Pinzon's Wife]  Female
25              Jack Taylor                [Vicuna]    Male
26            Helena Dueñas                      []  Female
27           Cole Henderson              [Helmsman]    Male
28           Silvia Montero     [Pinzon's Daughter]  Female
29             Juan Motilla                      []    Male"
15 Minutes,['John Hertzfield'],https://imsdb.com/scripts/15-Minutes.html,0179626,2001,6.1,"['Action', 'Crime', 'Drama']",John Herzfeld,"         Actor/Actress                      Characters     Sex
0       Robert De Niro      [Detective Eddie Flemming]    Male
1         Edward Burns     [Fire Marshal Jordy Warsaw]    Male
2       Kelsey Grammer                [Robert Hawkins]    Male
3         Avery Brooks        [Detective Leon Jackson]    Male
4   Melina Kanakaredes               [Nicolette Karas]  Female
..                 ...                             ...     ...
86       Floyd Resnick      [NYPD Officer at Ludwig's]    Male
87      Eric Rosenberg       [Pedestrian in Times Sq.]    Male
88      Brian Schreier             [Officer Thompkins]    Male
89        Erica Taylor              [Nightclub Patron]  Female
90         Ellen Whyte  [Woman #2 at Planet Hollywood]  Female

[91 rows x 3 columns]"
17 Again,['Jason Filardi'],https://imsdb.com/scripts/17-Again.html,0974661,2009,6.4,"['Comedy', 'Drama', 'Fantasy']",Burr Steers,"      Actor/Actress                Characters     Sex
0         Zac Efron          [Mike O'Donnell]    Male
1       Leslie Mann                 [Scarlet]    Male
2     Thomas Lennon                [Ned Gold]    Male
3     Matthew Perry  [Mike O'Donnell (Adult)]    Male
4    Tyler Steelman         [Ned Gold (Teen)]    Male
..              ...                       ...     ...
101    Jacob Saylor       [Basketball Player]    Male
102      David Tran               [Party Guy]    Male
103     Julian Vada       [Cafeteria Cashier]    Male
104   Jobeth Wagner            [Punk Student]  Female
105  Maria Zambrana  [Basketball Game Patron]  Female

[106 rows x 3 columns]"
187,['Scott Yagemann'],https://imsdb.com/scripts/187.html,6217824,2016,,"['Short', 'Crime']",Hecht Amar,"    Actor/Actress     Characters   Sex
0      Hecht Amar      [Assasin]  Male
1  Mattia Bianchi  [Born-Killer]  Male"
