Unnamed: 0,Titulo,Enlace,Escritor,imdbid,id,primaryTitle,originalTitle,isAdult,runtimeMinutes,genres,averageRating,numVotes,budget,gross,release_date,directors
1,12 Years a Slave,https://imsdb.com/scripts/12-Years-a-Slave.html,['John Ridley'],2024544,2024544,12 Years a Slave,12 Years a Slave,0,134,"Biography,Drama,History",8.1,728344,20000000,187733202,30/08/2013,Steve McQueen
2,127 Hours,https://imsdb.com/scripts/127-Hours.html,"['Simon Beaufoy', 'Danny Boyle']",1542344,1542344,127 Hours,127 Hours,0,94,"Biography,Drama",7.5,393860,18000000,60738797,04/09/2010,Danny Boyle
3,2012,https://imsdb.com/scripts/2012.html,"['Roland Emmerich', 'Harald Kloser']",1190080,1190080,2012,2012,0,158,"Action,Adventure,Sci-Fi",5.8,391485,200000000,791217826,11/11/2009,Roland Emmerich
4,30 Minutes or Less,https://imsdb.com/scripts/30-Minutes-or-Less.html,"['Michael Diliberti', 'Matthew Sullivan']",1622547,1622547,30 Minutes or Less,30 Minutes or Less,0,83,"Action,Comedy,Crime",6.1,105591,28000000,40662632,11/08/2011,Ruben Fleischer
5,500 Days of Summer,https://imsdb.com/scripts/500-Days-of-Summer.html,"['Scott Neustadter', 'Michael H. Weber']",1022603,1022603,500 Days of Summer,(500) Days of Summer,0,95,"Comedy,Drama,Romance",7.7,543580,7500000,60800444,17/01/2009,Marc Webb
6,A Quiet Place,https://imsdb.com/scripts/A-Quiet-Place.html,"['Bryan Woods', 'Scott Beck', 'John Krasinski']",6644200,6644200,A Quiet Place,A Quiet Place,0,90,"Drama,Horror,Sci-Fi",7.5,567042,17000000,340952971,09/03/2018,John Krasinski
7,A Serious Man,https://imsdb.com/scripts/A-Serious-Man.html,"['Joel Coen', 'Ethan Coen']",1019452,1019452,A Serious Man,A Serious Man,0,106,"Comedy,Drama",7,147758,7000000,31430334,12/09/2009,"Ethan Coen, Joel Coen"
8,"Adjustment Bureau, The","https://imsdb.com/scripts/Adjustment-Bureau,-The.html","['George Nolfi', 'Philip K Dick']",1385826,1385826,The Adjustment Bureau,The Adjustment Bureau,0,106,"Crime,Mystery,Romance",7,266695,50200000,127869379,14/02/2011,George Nolfi
9,Ali,https://imsdb.com/scripts/Ali.html,"['Stephen J Rivele', 'Christopher Wilkinson', 'Eric Roth', 'Michael Mann']",2401878,2401878,Anomalisa,Anomalisa,0,90,"Animation,Comedy,Drama",7.3,74414,8000000,5659286,04/09/2015,"Duke Johnson, Charlie Kaufman"
10,American Hustle,https://imsdb.com/scripts/American-Hustle.html,"['Eric Warren Singer', 'David O. Russell']",1800241,1800241,American Hustle,American Hustle,0,138,"Crime,Drama",7.2,494791,40000000,251171807,03/12/2013,David O. Russell
