Title,Year,Rating,Genres,Director,Cast,Runtime,Budget,Gross
The Shawshank Redemption,1994,,,,,N/A min,N/A,N/A
The Godfather,1972,,,,,N/A min,N/A,N/A
The Dark Knight,2008,,,,,N/A min,N/A,N/A
Pulp Fiction,1994,,,,,N/A min,N/A,N/A
Schindler's List,1993,,,,,N/A min,N/A,N/A
Inception,2010,,,,,N/A min,N/A,N/A
The Matrix,1999,,,,,N/A min,N/A,N/A
Goodfellas,1990,,,,,N/A min,N/A,N/A
Se7en,1995,,,,,N/A min,N/A,N/A
Seven Samurai,1954,,,,,N/A min,N/A,N/A
City of God,2002,,,,,N/A min,N/A,N/A
The Silence of the Lambs,1991,,,,,N/A min,N/A,N/A
Being John Malkovich,1999,,,,,N/A min,N/A,N/A
The Usual Suspects,1995,,,,,N/A min,N/A,N/A
Léon: The Professional,1994,,,,,N/A min,N/A,N/A
Spirited Away,2001,,,,,N/A min,N/A,N/A
Saving Private Ryan,1998,,,,,N/A min,N/A,N/A
Interstellar,2014,,,,,N/A min,N/A,N/A
The Green Mile,1999,,,,,N/A min,N/A,N/A
Parasite,2019,,,,,N/A min,N/A,N/A
