Topic_ID,Count,Palabras
-1,2491,outliers (sin tema claro)
0,20466,"I, think, want, I I, say, come, I think, tell, good, make"
1,387,"god, ha, god god, jesus, right, ah, holy, shit, shush, gosh"
2,200,"nope, nope nope, clearly gang, dad noooooo, aw nope, gang I, mac big, nooo good, nooo, fat sack"
3,166,"sorry, I sorry, sorry I, sorry sorry, I, forgive, pardon, excuse I, excuse, I forgive"
4,130,"wait, wait wait"
5,114,"great, cool, right, nice, great great, right right, great right, thank, nice great, great nice"
6,107,"aye, aye aye, shit aye, shit"
7,107,"wrong, wrong wrong, happen, matter, fuck, happen wrong, happen fuck, problem, wrong matter, fuck happen"
8,104,"seriously, yes seriously, yes, seriously right, seriously yes, seriously dat, yessir yes, dat world, yessir, seriously seriously"
9,103,"I I, I, I sure, sure I, sure, answer I, idea I, honey I, answer, I honey"
10,83,"hell, stand, hell I, ya, people I, I dear, I baaaaaaay, caroline earth, beeee guy, dumbass shop"
11,80,"yes yes, yes, positive yes, yes positive, god yes, yes god, positive, god"
12,67,"thank thank, thank, job thank, thank mahalo, mahalo thank, mahalo, yes thank, thank good, good job, thank yes"
13,67,"mr mr, mr, mr I, think mr, mind address, mister big, mickey, mr maybe, mickey mack, mack mr"
14,67,"come, come come, come I, I"
15,65,"sure, sure sure, course, course course, course sure, sure course, yes course, ahead, sure ahead, ahead sure"
16,59,"come come, come, come love, come tommy, come sorry, come turn, tommy come, turn come, tommy, love man"
17,56,"eeeeeeeeeeeeeeeeeeeee m, eeeeeeeeeeeeeeeeeeeee, m"
18,55,"good good, good, absolutely, dokee, brewster good, alrighty good, dokee good, gladly, absolutely absolutely, certainly good"
19,53,"ps, ps god, copy ps, copy, god"
20,51,"juno, juno juno, waymond, mongo, alpha waymond, little mongo, alpha, juno I, waymond alpha, little"
