Topic_ID,Count,Palabras
-1,36238,outliers (sin tema claro)
0,1510,"girl, tell, wife, woman, leave, say, I, want, hot, I tell"
1,733,"question, tell I, ask, say I, tell, I tell, say, I say, ask I, I ask"
2,650,"money, dollar, thousand, pay, business, money I, thousand dollar, million, I money, billion"
3,649,"room, live, house, flat, place, boston, city, street, cleveland, upstairs"
4,590,"let, come, want, talk, need, I want, face, release, leave, want talk"
5,587,"nigger, black, white, slave, nigger I, white man, nigga, white people, black people, black man"
6,506,"home, stay, home I, I home, come I, come, stay I, I come, leave, I stay"
7,497,"god, holy shit, shit, jesus christ, holy, christ, ha, jesus, fuck, god god"
8,458,"book, read, write, movie, writer, publish, novel, I read, I write, paper"
9,450,"mortgage, bond, bank, cdo, swap, market, mortgage bond, housing, loan, subprime"
10,425,"cardinal, priest, church, pope, holy father, holy, catholic, tremblay, vote cardinal, vote"
11,418,"listen, talk, quiet, listen I, I listen, hear, talk I, speak, voice, hear I"
12,404,"richard, ray, charlie, joel, chandler, ricky, speer, brian, brian speer, alan"
13,360,"long, month, year, minute, ago, hour, second, week, day, year ago"
14,340,"I pick, pick, I"
15,328,"eat, dinner, lunch, I eat, food, hungry, cook, egg, I hungry, breakfast"
16,301,"car, drive, van, vehicle, car car, truck, car I, fucking car, I drive, road"
17,300,"band, song, music, rock, sing, rock roll, record, play, record company, roll"
18,293,"anne, anne anne, alicia, joan, lorraine, elisa, dolore, naomi, amy, leslie"
19,275,"lawyer, court, judge, case, jury, trial, motion, investigation, witness, law"
20,247,"dad, mother, mom, father, dad dad, daddy, mother I, mama, mom mom, father I"
21,222,"drink, wine, beer, pinot, drink I, want drink, bottle, whiskey, glass, coffee"
22,222,"phone, number, I phone, phone I, phone friend, cell phone, use phone, hang, reach, cell"
23,214,"shirt, suit, clothe, wash, toilet, pee, bath, underwear, clean, wear"
24,196,"I I, I yes, yes I, yes, sure I, I, I sure, sure, think yes, probably I"
25,195,"help, help I, I help, want help, need help, help help, try, I try, need, I need"
26,190,"gay, vote, candidate, senate, homosexual, ballot, politic, vote I, queer, gay people"
27,188,"frodo, gondor, frodo frodo, mina, tirith, mina tirith, sauron, mordor, gandalf, hobbit"
28,186,"cop, police, sheriff, detective, officer, cop cop, undercover, cop I, I cop, police officer"
29,184,"rome, caesar, emperor, maximus, gladiator, empire, caesar I, rome rome, aurelius, colosseum"
30,182,"doctor, dr, doc, dr dr, I doctor, doctor doctor, dr I, doctor I, I dr, surgeon"
31,181,"fuck spoo, eeeeeeeeeeeeeeeeeeeee, spoo, eeeeeeeeeeeeeeeeeeeee fuck, yes eeeeeeeeeeeeeeeeeeeee, fuck, yes"
32,178,"excuse, excuse I, apologize, sorry, I apologize, forgive, I sorry, forgive I, I excuse, sorry I"
33,178,"gun, shoot, gun gun, I shoot, reach gun, weapon, bullet, shoot I, pistol, gun I"
34,178,"crazy, weird, crazy crazy, ridiculous, pathetic, nuts, strange, unusual, I crazy, odd"
35,172,
36,169,"bomb, atomic, atomic bomb, hydrogen, weapon, hiroshima, hydrogen bomb, japan, atomic weapon, detonate"
37,167,"nope, nope nope, nope yes, yes nope, course, yes, absolutely, nope I, absolutely absolutely, course nope"
38,163,"friend, meet, friend friend, good friend, friend I, I meet, meet meet, friend good, I friend, friendship"
39,159,"harvard, facebook, zuckerberg, thefacebook, student, college, university, harvardconnection, network, princeton"
40,154,"sleep, wake, tired, I sleep, bed, sleep I, I tired, tired I, wake wake, rest"
41,150,"smell, smoke, cigarette, I smell, smell I, I smoke, high, coke, smell smell, drug"
42,150,"sure I, sure, I I, I sure, sure sure, I idea, idea I, idea, I, sure phil"
43,149,"wait yes, wait, yes wow, wait wait, whoa wait, right wait, wow whoa, whoa, wow, yes"
44,138,"hell, doin, hell think, fuck hell, hell hell, fuck, I hell, fuck fuck, hell I, boy guy"
45,137,"sorry I, I sorry, sorry, sorry man, sorry condolence, condolence I, sorry trouble, condolence, I, sorry hear"
46,135,"impossible, impossible I, I impossible, possible, way, way way, I I, possible I, mr I, yes"
47,134,"right right, right, I right, right I, fuzz right, right fuzz, right porch, monkey right, porch monkey, fuzz"
48,132,"I I, I yes, yes I, yes, I sir, I, I instruct, art sir, bet yes, ew maybe"
49,132,"ivan, ivan ivan, zakharov, szpilman, igor, nikolai zakharov, nikolai, mierzwiak, ivan father, ivan I"
50,131,"count, I count, count count, zloty, dozen, point, cost point, beast remain, carry near, composition poor"
51,127,"real, juno, real I, herr, I real, world speak, juno I, old, lack, use"
52,123,"finish, I finish, finish I, treach, time, wait, waitin, delay procedure, treach treach, wait end"
53,121,"nervous, scared, scar, I nervous, worried, I scar, nervous I, scar I, I worried, worried I"
54,120,"true, wrong, true true, wrong wrong, true right, right true, right, mistaken, fact, right wrong"
55,118,"oppenheimer, dr oppenheimer, dr, security, einstein, scientist, atomic, strauss, robert oppenheimer, mr strauss"
56,117,"funny, laugh, joke, funny funny, laugh funny, hah, I laugh, hah hah, laugh I, joke funny"
57,112,"hand, hand hand, arm, hand head, finger, knee, hand I, I hand, hand plain, plain sight"
58,111,"remember, forget, I remember, remember I, forget I, I forget, remember remember, forget forget, remember forget, memory"
59,110,"fight, fighter, I fight, fight I, fight fight, boxing, want fight, duel, fight year, title"
60,110,"I I, I, I ironic, ironic I, I super, involved I, super involved, I obviously, involved, I ma"
61,108,"blend, I I, beg people, end beg, I end, people love, I nature, think exactly, barbie, parasite mr"
62,108,"come come, come, come guy, buddy come, guy come, yes pop, mr come, come mr, come buddy, pop"
63,107,"bad, good good, good bad, great, good, bad good, think great, bad great, fantastic good, bad bad"
64,107,"yes yes, yes, emulator yes, rugburn yes, yes pix, pix firewall, firewall emulator, firewall, pix, vote yes"
65,107,"mr mr, mr, mr I, I mr, aware mr, mr aware, aware, answer mr, mr accompany, january mr"
66,106,"want want, want, want I, need want, need I, I want, need, fuck want, want need, I need"
67,105,"I fine, fine I, fine, fine right, right I, right, right right, feel fine, god right, I right"
68,102,"marriage, marry, divorce, annul, married, marry I, marriage license, marriage annul, I marry, license"
69,101,"different, difference, different different, comparison, bad way, specifically, I difference, example, instance, I lotta"
70,101,"look look, look, look I, I look, face look, lookit, good look, quick look, lookit face, look face"
71,100,"cold, snow, rain, winter, cold cold, freezer, freeze, wind, warm, freeze cold"
72,99,"good good, cool, great, good, good great, nice, great good, sweet great, good cool, nice good"
73,99,"outta, fuck outta, fuck, outta fuck, I outta, outta I, git outta, ass, come come, come fuck"
74,95,"plan, plan plan, let, need plan, think plan, let let, think let, I plan, say let, I formulate"
75,93,"enigma, message, machine, code, break enigma, decrypt, break, enigma machine, cryptography, german"
76,93,"I man, hear mention, mention pass, I hear, man I, pass I, hear, mention, man friend, pass"
77,92,"buy, buy I, I buy, collection, I sell, I sellin, entitle I, I possessive, I lend, fuckin money"
78,90,"win, lose, winner, win win, win I, win lose, lose win, think win, I lose, lose lose"
79,90,"yes, afraid far, course obviously, yes ought, think engell, yes arthur, alley yes, little john, john sword, fact course"
80,90,"I control, ego, tradition, control, reward, sit I, screw, way showing, watch let, behavior watch"
81,88,"hello, hello hello, fine hello, hello fine, fine, fine fine, I hello, hello I, hi hello, hi"
82,87,"amitabh, bhai, ponting, ricky ponting, sachin tendulkar, b ricky, tendulkar, sachin, srinivas, ricky"
83,87,"I I, course I, I course, course, honestly jealous, kike, eod I, damn skippy, ability course, I stinkin"
84,85,"seriously seriously, seriously, seriously y, y"
85,85,"good night, night, night good, goodnight, good, nice day, good afternoon, evening, afternoon, good evening"
86,82,"jew, jewish, jews, jew I, I jewish, yoohoo jew, yoohoo, jew jew, jews jews, editor"
87,82,"wait wait, wait, minute wait, wait minute, minute, second wait, wait second, pause wait, wait fine, fine wait"
88,81,"django, broomhilda, django django, hildi, broomhilda broomhilda, young django, django free, broomhilda I, django freeman, django I"
89,81,"trouble maker, little trouble, maker, maker little, guy man, man guy, trouble, try snowball, ward henryk, pete man"
90,81,"happy, happy I, I happy, happy happy, feel good, feel, smile, good feel, satisfied, smile feel"
91,81,"play, play play, game, play I, I play, game play, game I, let play, play game, play let"
92,79,"german, nazi, hitler, speak german, nazi nazi, reich, german I, speak, führer, adolf"
93,79,"nice meet, meet, nice, meet good, meet nice, meet I, great meet, introduce, I introduce, good meet"
94,79,"du, du du, la, en, y, ngup, por, es, la iglesia, iglesia"
95,78,"drop, I throw, drop drop, delete, drop shut, throw drop, throw, destroy, shut I, I drop"
96,78,"decision, choice, choice I, I choice, decide, make decision, decision make, choose, decide christmas, make mind"
97,78,"lie, trust, liar, I trust, lie lie, lie I, trust I, I liar, liar I, liar lie"
98,78,"thank thank, thank, cheer, cheer thank, thank cheer, nice shot, cheer cheer, thank nice, ty, yeew"
99,78,"kid, kid I, I kid, kid kid, joke, joke kid, fuck kid, I joke, joke joke, kid fuck"
100,78,"sit, sit sit, seat, seat sit, sit seat, sit I, I sit, seat I, ask sit, chair"
101,77,"horse, horse horse, bull, saddle, I horse, horse I, camel, rodeo, cowboy, rid horse"
102,76,
103,76,"thank thank, thank"
104,73,"twice, time, pourer hit, pourer, day yes, day, time time, hit, college right, constantly occasion"
105,73,"burn, flame, cross, burn burn, furnace, screen fireplace, cross burn, fireplace, fireman, incoming"
106,72,"lie face, maybe, face, admit fucker, ago reaction, face think, face month, ella maybe, fame protect, chase night"
107,72,"jesus, jesus jesus, jesus god, man man, man jesus, god jesus, jesus man, christ, christ jesus, god"
108,72,"math, number, mathematic, number number, calculation, mathematician, math class, statistic, analysis, run calculation"
109,72,"ah ah, ah"
110,71,"care, I care, care I, care care, movie care, shit, shit I, shit care, care movie, care fuck"
111,71,"I I, I recommend, recommend, let happen, allow I, I allow, I let, idea I, I ocooeee, decline"
112,70,"good luck, luck, luck good, good, umm, luck ecco, good wish, sake good, tim christ, umm good"
113,70,"sir, sir yes, yes sir, sir sir, yes, mr yes, sup, sir sup, yes mr, mr"
114,70,"bleed, blood, wound, heal, blade, bruise, scar, jab, blood make, I bleed"
115,70,"old, young, old I, I old, young I, old old, year old, age, teenager, grow"
116,70,"jack, jack jack, jack I, I jack, buddy jack, thank jack, jack business, home jack, business jack, jack twist"
117,69,"noooo, noooo nooooo, nooooo nooooice, object noooo, noooo noooo, nooooice, nooooo, I object, object, I"
118,68,"dead, dead dead, alive, alive dead, madrigal, dead alive, die, think die, pass, dead man"
119,67,"course course, course, yes course, course yes, I course, course foolish, agree course, course ah, pff course, accept course"
120,66,"thank thank, thank, thank hm, aiight, hm thank, hm, aiight aiight, hmph, mouthful thank, aiight thank"
121,66,"calm, relax, calm calm, relax relax, calm relax, relax calm, stay calm, relax I, calm I, I calm"
122,65,"party, celebrate, party I, valentine, christmas, birthday, celebration, valentine day, new year, party celebrate"
123,64,"key, lock, key I, I key, fix, lock fix, fix lock, key key, lock I, password"
124,63,"sprite ugh, ugh fine, shoot sprite, sprite, ugh, shoot, fine"
125,63,"homer, homer homer, homer I, I homer, homer good, homer right, homer business, right homer, tree homer, care homer"
126,63,"family, family family, family I, I family, family tell, family man, want family, american italian, arty, I forgo"
127,62,"good good, sorry sorry, good sorry, sorry good, sorry, good"
128,62,"fine, right, buddy, right right, mary, come prepare, baby doc, buddy right, fine lewis, figure mary"
129,61,"late, I late, late late, minute late, late I, sanborn, late minute, run late, minute, early"
130,61,"thank, thank mr, mr thank, jennings, sir thank, mr, thank sir, welcome, mr jennings, jennings thank"
131,61,"scottie, scottie scottie, scott, scotty, scottie I, harmony, I scottie, scottie stop, scottie alex, watch scottie"
132,61,"ready, ready ready, ready I, I ready, set, ready set, prepare, set I, cue I, brace"
133,61,"savin beauty, chap yes, meantime rest, yes instead, hand chap, I meantime, I disagree, meantime, rest yes, I savin"
134,60,
135,60,"problem, problem problem, fuckin problem, problem say, trouble, real problem, problem I, big problem, difficulty, problem trouble"
136,59,"harvey, harvey harvey, harvey milk, milk, harvey I, I harvey, milk I, harvey time, milk harvey, hello harvey"
137,59,"mike, mitch, mike mike, michael, mikey, mike I, blaster, mitch mitch, blaster mike, listen mitch"
138,59,
139,59,"tony, tony tony, tony lip, tony I, mickey, lip, I tony, lip tony, mickey mickey, tony say"
140,59,"understand, understand understand, understand I, I understand, say understand, I understanding, understand happen, start understand, understanding, follow I"
141,59,"hi hi, hi, hi bingo, bingo, hiya, bingo hi, hiya hi, hi hiya, hi kary, hiya buddy"
142,58,"shut, shut shut, shut fuck, fuck shut, shut man, listen shut, everybody, everybody listen, everybody right, ach shut"
143,58,"good good, good, good boy, awesome, good girl, great, great good, excellent, boy awesome, excellent good"
144,58,"problem, problem problem, thank, problem thank, thank thank, thank lot, guy problem, thank guy, welcome thank, yes thank"
145,58,"yes yes, yes"
146,57,"pleeeease, ah pleeeease, pleeeease vinny, everybody ah, vinny daniel, daniel, vinny, ah, everybody"
147,57,"hell recognize, recognize world, nasa wha, think nasa, world wait, wha fuck, nasa, wait guy, wha, fuck hell"
148,57,"boat, ship, boat I, vessel, sailboat, black ship, driveway I, I boat, boat ride, sail"
149,57,"later, tomorrow, later I, I later, later later, tomorrow later, I tomorrow, I week, week, soon I"
150,57,"jamal, jamal jamal, jamal I, think jamal, jamal malik, malik, I jamal, jamal way, way jamal, dead jamal"
151,57,"door, door I, gate, open, knock, open door, door open, knock knock, fucking door, gate open"
152,57,"boy jar, jar, little boy, boy, little"
153,57,"alex jared, beautiful hell, bob mr, apart wash, alicia god, manolo tonight, mind buddy, people generally, queen today, check boy"
154,55,"hello hello, hello, hello hi, hi hello, hi, everybody hello, buzz hi, hello buzz, hello buddy, buddy hello"
155,55,"bad man, man bad, man, good man, bad, man great, great man, man good, player, decent"
156,55,"bye, goodbye, bye bye, bye goodbye, goodbye bye, goodbye goodbye, say goodbye, goodbye long, bye say, right bye"
157,54,"metaphor I, metaphor, I metaphor, right sorry, I shit, I right, sorry I, shit, sorry, I I"
158,54,
159,54,"time time, thirty, time, pm, clock, midnight, thirty thirty, dark, decrypt I, eminence time"
160,54,"fun, fun fun, fun I, fun let, let fun, great fun, think fun, bored, fun lot, fun great"
161,54,"mark, mark mark, mark resent, rehabilitate, mark want, resent, attention mark, dinner winklevosse, distrust, care money"
162,53,"let let, let, yes let, let come, let yes, chop, come let, come easy, babe chop, chop chop"
163,52,"yes yes, yes, yes ah, ah yes, ah"
164,52,"I explain, fuck fuck, da heck, baby hell, earth sir, fuck sharnov, explain everybody, boy da, hell goin, sharnov baby"
165,52,"I I, admirable heroin, carpenter I, guy hold, far admirable, crack case, experience say, feel vaguely, case wide, admirable"
166,52,"english, speak english, language, speak, english speak, english language, english english, language I, english jive, speak language"
167,52,"wow, wow wow, whoa, whoa whoa, wow whoa, whoa wow, ow wow, ow, whoa whea, whoa second"
168,52,"ugly, beautiful, beauty, look hideous, beautiful I, beauty I, cute, hideous, gorgeous, handsome"
169,52,"drum roll, sir drum, yes bud, bud yes, roll yes, drum, bud, yes sir, yes, roll"
170,51,"exactly I, benihana, bunch team, cabin everybody, certainly steer, billy fuck, say geoghan, man ya, parent cabin, leave piece"
171,51,"yes yes, yes"
172,51,
173,50,"razzle, dazzle, razzle dazzle, old razzle, dazzle old, old, walk right, I shall, feed, yo folk"
174,50,"soldier, army, soldier soldier, army I, war, guy army, humble soldier, military I, military, soldier I"
175,50,"john, john john, john I, massa, debt, debt john, gunna, massa gunna, john yes, john world"
