Topic,n_peliculas,pelicula_principal,pct_pelicula_principal
5,12,The Big Short,95.2
29,5,Slumdog Millionaire,93.8
23,6,Million Dollar Baby,90.2
33,4,The Lord of the Rings: The Return of the King,89.3
4,17,Oppenheimer,80.8
22,8,Gladiator,77.9
37,10,Argo,75.5
18,18,The Social Network,72.8
31,10,Traffic,69.4
8,20,Milk,61.3
30,9,The Imitation Game,56.2
44,9,Django Unchained,55.6
24,11,Django Unchained,55.1
7,18,Conclave,44.6
27,13,Jojo Rabbit,42.6
42,15,Argo,42.5
12,25,Almost Famous,41.6
19,19,American Fiction,31.9
15,34,The Departed,28.8
3,29,BlacKkKlansman,28.7
25,15,12 Years a Slave,27.0
28,17,The Departed,23.1
11,25,Spotlight,23.0
46,15,Birdman or (The Unexpected Virtue of Ignorance),22.9
32,32,The King's Speech,20.0
39,18,Jojo Rabbit,17.8
14,42,Spotlight,16.0
40,25,Manchester by the Sea,15.9
6,39,Django Unchained,15.1
41,21,Django Unchained,15.0
35,20,Birdman or (The Unexpected Virtue of Ignorance),14.8
20,29,Midnight in Paris,14.6
13,37,Everything Everywhere All at Once,14.2
36,25,The Hurt Locker,13.7
26,32,Sideways,13.7
43,24,Django Unchained,13.2
21,29,Manchester by the Sea,11.5
47,22,Eternal Sunshine of the Spotless Mind,11.4
45,24,Her,11.1
0,55,The Descendants,11.0
34,31,Almost Famous,10.9
16,38,The Social Network,10.7
38,24,12 Years a Slave,10.6
1,54,Sideways,10.0
17,42,Django Unchained,9.6
9,45,Manchester by the Sea,7.4
10,50,The Social Network,6.3
2,53,Spotlight,5.1
-1,56,Django Unchained,5.1
