Topic_ID,Count,Palabras
-1,2331,outliers (sin tema claro)
0,466,"look, father, come, think, time, try, want, love, work, make"
1,405,"think, feel, people, make, life, love, forgive, want, try, man"
2,361,"daughter, think, want, maid, look, wear, work, girl, mother, help"
3,220,"house, money, welfare, job, pay, buy, work, thousand, need, paper"
4,196,"love, need, time, want, phone, relationship, make, think, love love, lot"
5,185,"dinner, eat, come, leave, upstairs, want, stay, ready, food, walk"
6,141,"woman, colony, leave, man, stay, fight, boy, return, world, stay fight"
7,131,"book, read, school, work, write, alternative school, alternative, good, reading, want read"
8,110,"jury, priest, trial, victim, guilty, file, evidence, man, police, murder"
9,91,"child, feel, year, laugh, life, believe, teach, way, protect, car"
10,90,"baby, pregnant, adoption, mother, abortion, child, raise, need, infant, mom"
11,88,"wine, rain, live, bubble, street, city, beautiful, glass, thistle, nest"
12,72,"king, speak, brother, son, slave, kill, arena, army, strike, destroy"
13,57,"listen, music, girl, fat, darlin, act, body, woman, rock, girl big"
14,50,"foot, doctor, spinal, bleeding, patient, normal, stupid, pill, wear, bunch"
