Topic_ID,Count,Palabras
-1,2454,outliers (sin tema claro)
0,429,"father, look, come, time, think, work, try, love, want, make"
1,405,"think, feel, people, make, life, forgive, love, try, want, man"
2,175,"daughter, want, think, hard, work, look, day, important, friend, girl"
3,149,"dinner, eat, upstairs, come, ready, food, hungry, walk, lunch, late"
4,141,"colony, woman, leave, man, stay, fight, boy, return, stay fight, war"
5,110,"jury, priest, trial, guilty, victim, evidence, file, murder, police, man"
6,95,"welfare, money, pay, house, expense, motivated, business, job, budget, paper"
7,91,"child, feel, laugh, year, teach, believe, life, protect, way, car"
8,90,"baby, pregnant, adoption, mother, abortion, child, raise, infant, need, mom"
9,88,"wine, rain, bubble, live, street, city, beautiful, glass, thistle, nest"
10,72,"king, speak, brother, slave, son, kill, arena, army, strike, history"
11,57,"listen, music, darlin, fat, girl, act, body, woman, rock, remember want"
12,52,"book, read, want read, character, publish, page, write, read page, character book, book come"
13,50,"relationship, marriage, marry, divorce, anymore, status, love, year, relationship way, single page"
14,50,"foot, doctor, spinal, bleeding, patient, normal, pill, stupid, bunch, wear"
15,46,"love, love love, friend, deserve love, new friend, capable deserve, feel, make, capable, love way"
16,44,"kindness, love, gracious compassionate, love kindness, kindness forgiveness, rich love, slow anger, sacrifice, compassionate, compassionate slow"
17,41,"phone, day, day want, cassie, phone ring, miss hurt, hurt body, guy, time time, want"
18,36,"look, wake, sweet, look mirror, dew look, hotel room, moth, morning dew, wake hotel, sweet morning"
19,35,"house, buy, home, room, buy buy, live, living room, build, space, living"
20,34,"borrow till, chicken place, till buy, pick, borrow, bucket, fridge, properly, cold, kitchen"
21,32,"job, work, boss, work year, hire, work work, office, year, boss normally, candidate mysterious"
22,32,"wear, clothe, dress, shirt, wash, wear shirt, dress think, fit, warm, stupid"
23,32,"need, help, need need, need help, thank, help need, little help, need little, nice, think need"
24,26,"leave, sorry leave, come, think leave, home, come home, stay, allow, fucking psychopath, allow smell"
25,26,"husband husband, husband, address old, aboard palm, ahead think, beer hear, hear walk, american nickname, good read, come sound"
26,26,"school, alternative school, alternative, coffee, teach, high teach, school alternative, coffee shop, live bean, bean"
27,26,"fight, boss, sir, money, ready fight, think ready, fight people, fighter, knock, hardly"
28,25,"overseer, dey, drop, work, bad health, bang lot, bed tomorrow, coffeehouse, bayou bad, bayou"
29,25,"walkin, ain, cold piano, piano noisy, noisy, piano, bell, mama, d, cold"
