Topic_ID,Count,Palabras
-1,7116,outliers (sin tema claro)
0,558,"girl, daughter, wife, want, woman, look, think, come, good, leave"
1,371,"father, son, come, guy, dad, want, man, little, make, miss"
2,366,"nigger, black, white, white people, ass, people, black man, black people, man, want"
3,302,"bomb, atomic, scientist, weapon, atomic bomb, security, war, physics, reaction, h"
4,245,"dollar, money, thousand dollar, thousand, pay, sell, make money, business, make, mandingo"
5,203,"chicken, apple, eat, water, cream, smell, pickin, wash, ice cream, dinner"
6,193,"bond, mortgage, bank, cdo, swap, subprime, rate, housing, mortgage bond, market"
7,191,"gay, vote, candidate, district, city, homosexual, people, gay people, ballot, office"
8,189,"apologize, want, sure, understand, mad, sabotage, speak, shit, interested, think"
9,161,"lawyer, sue, client, case, court, jury, motion, doc, file, trial"
10,137,"band, music, rock, song, play, record, stage, roll, record company, rock roll"
11,134,"universe, present, world, life, feel, mind, real, version, dream, unsatisfying"
12,125,"guy, kid, good, job, brain transplantation, transplantation, student, story, frequently, remark"
13,118,"cop, police, officer, spy, charge, informant, undercover, enforcement, law enforcement, secure"
14,112,"party, tomorrow, meet, late, hang, morning, minute, come, collect, drink"
15,112,"interview, job, work, quit, member, boss, certificate, work work, manager, million member"
16,104,"kill, scared, fear, afraid, razzle, razzle dazzle, person, dazzle, save, scare"
17,103,"student, thefacebook, site, social, online, friend, network, facebook, website, people"
18,94,"book, read, novel, write, publish, write book, writer, fiction, think book, scholar"
19,89,"city, live, small, club, little whitcraft, finish novel, street boulevard, boulevard, whitcraft, whitcraft north"
20,87,"doctor, heart, muscle, patient, disease, medicine, treatment, basically, remove, doctor interested"
21,86,"honor, day, spectacle, serve, match, shall, duty, conquest, gladiator, discharge duty"
22,82,"fight, fighter, title, manager, round, title fight, champ, punch, good, fight title"
23,78,"slave, horse, candyland, ranch, ride, plantation, horse want, slave trade, ride horse, trade"
24,74,"unto, thy, shall, shalt love, commandment, love thy, shalt, ye, law, o"
25,73,"wedding, relationship, marry, lucky, time, life, married, meet, lucky meet, sex"
26,68,"jewish, nazi, deny, force, training weekend, deny jewish, decree, home want, hive, area"
27,65,"yes yes, shoot, gun, weapon, yes, bullet, head, hand, away, away weapon"
28,64,"message, machine, decrypt, code, setting, operating, bit, break, microprocessor, os"
29,64,"rupee, million rupee, million, thousand rupee, thousand, rupee million, sixteen thousand, sixteen, century, class century"
30,62,"drug, trafficker, coke, sheriff, kill, year, somebody, enforcement, law enforcement, truck"
31,60,"voice, speak, hear, microphone, silence, silent, record, directional microphone, stammer, hear look"
32,58,"priest, parish, thirteen, thirteen priest, church, report, nun, catholic, victim, priest year"
33,58,"church, priest, forgive, religion, dismiss office, mass day, dismiss, resign, office, mass"
34,56,"king, doom, end come, celt, haste, war, river, long, end, save"
35,55,"let, slow, let slow, come come, let make, chance, come time, opportunity, time, hop"
36,54,"people love, beg people, end beg, feel, love, happy, beg, shit, look world, think use"
37,51,"door, lock, car, key, toy, replace lock, wrench, lock door, drawer, replace"
38,49,"embassy, hostage, passport, airport, checkpoint, american, execute, canadian, cover, rumour"
39,47,"lie, secret, lie need, people lie, story, yah, need, people, yes information, victim disgraceful"
40,45,"mother, mother come, mom, mother let, home mother, aide, come, present, home, turn real"
41,44,"floor, wrap body, screen fireplace, body cast, hell night, night wrap, work hell, burn, fireplace, cast"
42,44,"cardinal, make cardinal, grant, pray, sin forgiveness, let grant, pectore, grant sin, let pray, forgiveness"
43,40,"movie, actor, make movie, film, fake, build cover, fake movie, hire actor, movie business, dream"
44,40,"accent, speak, world speak, word, pronounce, tongue, insist, agat, accent everyday, accent accent"
45,38,"idea, answer, method, original idea, think idea, wrong lose, project, idea want, answer wrong, want work"
46,36,"thank, good friend, want thank, thank today, want honor, thank come, friend, want, grateful, nervous"
47,36,"german, speak, stand reason, mistress, teach, lady, ya, uppity son, carnation day, carnation"
48,35,"sleep, clock, wake, sorry wake, come night, night, bed, early morning, morning, sit"
49,35,"love, fall love, kind love, love absolute, love word, kill people, rhinoceros, love try, absolute, fall"
50,33,"jab, hook, punch, jab hand, glove, hit, hand jab, hard hit, hook jab, hand"
51,33,"minute pray, spend fucking, welcome, fucking minute, blend, pray, bear, late, bad deliver, effeminate man"
52,33,"letter, post, write letter, letter post, post office, letter write, report, writin, read letter, write"
53,32,"django, free man, horse, man, young, man ride, free, doubt, caterwaul, business provide"
54,32,"use play, use, sober, age, play, shit, young, school, remember, kid"
55,31,"wine, color, fermentation, wine tour, drink, usually, tour, red, good, folk"
56,30,"wrong, fact, giant, hop, opinion, way, truth, fact secret, absolutely page, discussion thought"
57,28,"room, drive, extra room, home stuff, facility, maid, drive home, bedroom, home, stuff"
58,28,"look, lip, skinny, beautiful, hip, hat, eye, blue, tight, black"
59,27,"coma, tuberculosis, breathe, coma day, stitch, hospital, pump, hour day, scale, day"
60,27,"crazy, goddamn crazy, paranoid, psychiatrist, obsession, mood, goddamn, bad mood, code hallmark, act logically"
61,27,"bet, fund, invest, investor, short, position, pension fund, short position, invest invest, pension"
62,25,"bleed, finger, blood, interlock, ground spread, head interlock, arm leg, kneel stand, spread arm, interlock finger"
63,25,"leave, want stay, stop, stay, hang, marvellous wit, bein matter, aiready, actual use, exhausted leave"
64,25,"rule, late, adolescence, appetite think, care train, adolescence period, angry star, credential good, cat second, business hurt"
