Gender,Topic,Count,Category,Scope,N_Movies,Dominant_Movie,Dominant_Movie_Pct,Dominant_Movie_Award,Words
female,-1,2313,Outliers (no clear topic),outlier,55,Precious,7.3,Adapted Screenplay,outliers (sin tema claro)
female,0,429,Family / father relationship,transversal,52,Gosford Park,16.3,Original Screenplay,"father, look, come, time, think, work, try, want, love, make"
female,1,405,Emotion / introspection,transversal,48,Women Talking,14.8,Adapted Screenplay,"think, feel, people, make, life, forgive, love, want, try, man"
female,2,361,Family / domestic service,transversal,44,Gosford Park,16.6,Original Screenplay,"daughter, think, want, maid, wear, look, work, girl, mother, help"
female,3,185,Food / everyday life,transversal,45,Gosford Park,15.1,Original Screenplay,"dinner, eat, come, leave, upstairs, want, stay, ready, food, walk"
female,4,179,Household economy,transversal,42,Precious,11.7,Adapted Screenplay,"money, welfare, job, pay, house, work, paper, need, cut, buy"
female,5,141,Colony / war (plot-specific),specific,27,Women Talking,56.7,Adapted Screenplay,"woman, colony, leave, man, stay, fight, boy, return, stay fight, war"
female,6,131,Education / reading,transversal,27,Precious,22.9,Adapted Screenplay,"book, read, school, work, write, alternative school, alternative, reading, good, want read"
female,7,110,Legal system,transversal,24,Chicago,16.4,Best Picture,"jury, priest, trial, victim, guilty, evidence, file, murder, police, man"
female,8,91,Parenting / protection,transversal,35,Precious,7.7,Adapted Screenplay,"child, feel, laugh, year, life, believe, teach, way, protect, car"
female,9,90,Motherhood / pregnancy,transversal,19,Juno,45.6,Original Screenplay,"baby, pregnant, adoption, mother, abortion, child, raise, infant, need, mom"
female,10,88,Poetic / aesthetic,transversal,29,Midnight in Paris,22.7,Original Screenplay,"wine, rain, bubble, live, street, city, beautiful, glass, nest, thistle"
female,11,81,Everyday communication,transversal,34,Her,9.9,Original Screenplay,"phone, need, want, wait, help, day, time, think need, little"
female,12,72,Period piece / slavery (plot-specific),specific,15,Gladiator,30.6,Best Picture,"king, speak, brother, slave, son, kill, arena, army, strike, history"
female,13,57,Music,transversal,20,Chicago,22.8,Best Picture,"listen, music, fat, girl, darlin, act, body, woman, rock, remember want"
female,14,50,Medicine / health,transversal,25,Juno,16,Original Screenplay,"foot, doctor, spinal, bleeding, patient, normal, pill, stupid, wear, bunch"
female,15,50,Romantic relationship,transversal,22,Her,18,Original Screenplay,"relationship, marriage, marry, divorce, anymore, status, love, year, relationship way, single page"
female,16,46,Love / friendship,transversal,17,Her,23.9,Original Screenplay,"love, friend, feel, make, deserve love, capable deserve, new friend, capable, love way"
female,17,44,Virtue / morality (possible single scene),transversal,18,12 Years a Slave,11.4,"Adapted Screenplay, Best Picture","kindness, love, gracious compassionate, love kindness, kindness forgiveness, rich love, slow anger, sacrifice, compassionate"
female,18,36,Poetic / dreamlike,transversal,19,Eternal Sunshine of the Spotless Mind,13.9,Original Screenplay,"look, wake, sweet, look mirror, dew look, hotel room, moth, morning dew, wake hotel, sweet morning"
female,19,35,Home / housing,transversal,21,Precious,14.3,Adapted Screenplay,"house, buy, home, room, live, living room, great, living, build"
