character,dialog
ARCHBISHOP WOZNIAK,Eminence...
LAWRENCE,"Janusz, your presence made him so happy."
ADEYEMI,"Subvenite, Sancti Dei..."
ADEYEMI,"... occurrite, Angeli Domini, Suscipientes animam eius. Offerentes eam in conspectu Altissimi..."
ALL CARDINALS,Suscipiat te Christus qui vocavit te et in sinum Abrahae angeli deducant te.
ALL CARDINALS,Sicut erat in principio et nunc et semper et in saecula saeculorum. Amen.
TREMBLAY,He is with God.
TREMBLAY,Archbishop Wozniak.
TREMBLAY,Sede vacante. The throne of the Holy See is vacant.
LAWRENCE,Aldo...
BELLINI,"Do you think anyone would m ind if I took this, Thomas? As a keepsake?"
LAWRENCE,Of course. Take it. He would have wanted you to have it.
BELLINI,We used to play quite often at the end of the day. He said it helped him relax.
LAWRENCE,Who won?
BELLINI,"Oh, he did. Always eight moves ahead."
LAWRENCE,"Ah, Aldo, I’m so sorry. What happened, do you know?"
BELLINI,They say heart attack. There had been warnings.
LAWRENCE,I hadn’t heard that.
BELLINI,He didn’t want anyone to know. He thought if word got out they would start spreading rumours he was going to resig n.
BELLINI,The Curia.
LAWRENCE,We’ll have to be careful what we say to the media about his condition.
LAWRENCE,"Janusz, I know this is hard for you, but we’ll need to prepare a detailed statement. Who discovered the Holy Father’s body?"
ARCHBISHOP WOZNIAK,"I did, Your Eminence."
LAWRENCE,"Well, thank God, that’s something. What did you do?"
ARCHBISHOP WOZNIAK,I called the Holy Father’s doctor. He always spent the night in the room next door. But... it was too late.
LAWRENCE,What time was this?
ARCHBISHOP WOZNIAK,"Around eleven thirty, Eminence. I would have called you sooner, but..."
TREMBLAY,"Thomas, I’m so sorry. I know His Holiness had no closer colleagues than you and Aldo... But I asked Janusz to hold off calling you. I... I wanted to ascertain all the facts."
LAWRENCE,"Well, I’m sure you acted for the best."
TREMBLAY,The way rumours can spread. One and a quarter billion souls watching.
TREMBLAY,I’ve prepared a time-line of His Holiness’ last day.
TREMBLAY,The Holy Father’s most recent medical records. He had an angiogram last month.
TREMBLAY,You can see the evidence of a blockage...just here.
LAWRENCE,"Joe, perhaps...perhaps we could release the data, but not the photograph? It feels too...too...."
TREMBLAY,"I know, Thomas, I know. But there will have to be an autopsy."
ADEYEMI,The time before Vespers? What was he doing then?
TREMBLAY,Routine meetings as far as I understand it.
ADEYEMI,Who was the last to have a scheduled meeting with him?
TREMBLAY,I believe that may have been me. I saw him at four. Is that right Janusz? Was I the last?
ARCHBISHOP WOZNIAK,"You were, Eminence."
ADEYEMI,"Put in all the meetings he had that day. It will show how hard he was working, right up to the end."
TREMBLAY,That might look as if we were placing a huge burden on a sick man.
ADEYEMI,The Papacy is a huge burden. Especially for an older man.
LAWRENCE,Has anyone telephoned Cardinal Tedesco?
LAWRENCE,As a courtesy.
BELLINI,"Courtesy? What has he ever done to deserve courtesy? If anyone can be said to have killed the Holy Father, he did!"
LAWRENCE,"I have to ring him, Aldo."
TEDESCO,Tedesco.
LAWRENCE,He already knew.
LAWRENCE,Goffredo? It’s Lawrence. I’m afraid I have terrible news. The Holy Father has just passed away
LAWRENCE,Goffredo? Sono Lawrence. Purtroppo devo comunicarvi una terribile notizia. Il Santo Padre è appena deceduto.
LAWRENCE,Your Eminence?
LAWRENCE,Eminenza?
TEDESCO,"Thank you, Lawrence. I shall pray for his soul."
TEDESCO,"Grazie, Lawrence. Pregheròper la sua anima"
LAWRENCE,He already knew.
BELLINI,Of course he knew. This place is full of his supporters. He probably knew before we did.
TREMBLAY,It’s trending. The rumours that the Pope is dead are trending. On the internet. We should move quickly or we’ll fall behind the news cycle.
ADEYEMI,We should wait until daylight. The dignity of the office requires...
BELLINI,"For God’s sake, Joshua. When did the Holy Father ever care about the “dignity of the office?” Look at h is rooms."
TREMBLAY,The body should be embalmed. Remember Pius XII? Went off like a firecracker in his coffin...
ADEYEMI,"Well, Dean. The responsibility for the Conclave falls upon you."
ARCHBISHOP MANDORFF,"Security say they’d like to test the electronic jammers one last time, your Eminence."
LAWRENCE,"Then they’d better be quick. Is this really necessary, Willi?"
ARCHBISHOP MANDORFF,Apparently so. Security say.. ...eavesdroppers can use lasers to “read the vibrations on the glass?”
LAWRENCE,Let’s hope none of our brothers suffer from claustrophobia. Who knows how long we’ll have to be in here.
LAWRENCE,I assume we are going to finish in time?
ARCHBISHOP MANDORFF,"They will work through the night if they have to. It will be fine, Eminence. It always is. Italy, you know."
LAWRENCE,Sorry to fuss.
MONSIGNOR O'MALLEY,"Well, Eminence, I’d say this is a pretty fair vision of hell."
LAWRENCE,"Don’t be blasphemous, Ray. Hell arrives tomorrow when we bring in the cardinals."
LAWRENCE,How on earth does one pronounce this? Salso?
ARCHBISHOP MANDORFF,"Kahl-koh, Eminence. He’s Indian."
LAWRENCE,Kahl-koh. Thank you Willi.
MONSIGNOR O'MALLEY,"Archbishop Wozniak has asked if he may have a word, Eminence?"
LAWRENCE,I don’t think that’s possible. The cardinals will begin arriving in an hour. What’s it about?
MONSIGNOR O'MALLEY,He didn’t say. . I wouldn’t have mentioned it but he seemed so...upset?
LAWRENCE,We’re going to be sequestered from six o’clock. He should have come earlier.
MONSIGNOR O'MALLEY,"Yes, your Eminence. I’ll tell him."
LAWRENCE,Ray? Tell him I’ll see him after I’ve met the cardinals. The poor fellow will be worrying about his future.
LAWRENCE,"Getting puffed up with my own importance, Willi."
LAWRENCE,The Conclave will be over in a few days and then no-one will be interested in me.
BELLINI,Shelter from the Storm.
BELLINI,"Dear Lord, that’s enormous."
LAWRENCE,Apparently Pope John the Twenty- Third was too fat to fit into the biggest cassock. They had to split the seam in the back for him to get into it.
BELLINI,You look tired.
LAWRENCE,All this... it’s a duty I never thought I’d have to perform. I always assumed he would out-live us all.
LAWRENCE,We... we didn’t part well.
LAWRENCE,I asked for his permission to retire as Dean. Join an order. I have been having... difficulties.
BELLINI,What did he say?
LAWRENCE,"He refused my resignation. Said that some were chosen to be Shepherds, and some to manage the farm. Apparently, I’m a manager."
LAWRENCE,Things were a little cold between us when I left. . And that was the last time I saw him.
BELLINI,The Holy Father told me of your... crisis of faith. He said you had difficulties with prayer.
BELLINI,"You know that he had doubts himself, by the end?"
LAWRENCE,The Pope had doubts about God?
BELLINI,Never about God. What he had lost faith in was the Church.
ARCHBISHOP MANDORFF,"Here they come, Your Eminence."
LAWRENCE,"Brothers, welcome."
CARDINAL MENDOZA,Are we criminals now? Searched? Luggage opened...
LAWRENCE,"I’m so sorry, Your Eminence, but we are told there is a heightened state of security."
CARDINAL MENDOZA,"And look at this. Spat upon. The Protestors. We’re all paedophiles now, apparently. Don Tutino?"
LAWRENCE,Will not be attending.
LAWRENCE,"Eminence Khal-Koh, welcome!"
TREMBLAY,Thomas!
TREMBLAY,Is he smuggling in his private Chef?
LAWRENCE,"How many is that, Willi?"
ARCHBISHOP MANDORFF,"One hundred and three, Eminence."
LAWRENCE,I wonder where Tedesco has got to.
MONSIGNOR O'MALLEY,Perhaps he isn’t coming?
LAWRENCE,That would be too much to hope for.
MONSIGNOR O'MALLEY,We can wait inside if you prefer?
LAWRENCE,"No, let’s get some fresh air while we still can."
BELLINI,Am I the last?
LAWRENCE,Not quite. How are you?
BELLINI,Oh fairly dreadful. You’ve seen the papers? Apparently it’s already decided it’s to be me.
LAWRENCE,And I happen to agree with them.
BELLINI,What if I don’t want it? No sane man would want the papacy.
LAWRENCE,Some of our colleagues seem to.
BELLINI,But what if I know in my heart I’m not worthy?
LAWRENCE,You’re more worthy than any of us.
BELLINI,I’m not.
LAWRENCE,Then... t ell your supporters not to vote for you. Pass the chalice...
BELLINI,And let it go to him? How am I to live with myself if I don’t try to stop him?
TEDESCO,"Apologies, Lawrence. My train was delayed in Venice."
LAWRENCE,ather Tedesco. We’ve missed you.
TEDESCO,"No doubt. But don’t worry, my friends have kept me wellinformed. >"
LAWRENCE,Are you well? >
TEDESCO,"Ah, no-one is ever well at our age. How have you found your new responsibilities? You have everything undercontrol?"
TEDESCO,I believe so.
TEDESCO,Good.  Stop hovering. I carry my own bag.
BELLINI,And let it go to him? How am I to live with myself if I don’t try to stop him?
LAWRENCE,"Heavenly Father, Bless this Conclave, and guide it in Wisdom."
LAWRENCE,Where is he? 
O’MALLEY,"The meeting room, Your Eminence. "
LAWRENCE,Will you take these upstairs for me?
O’MALLEY,Do you want me to sit in?
LAWRENCE,"No, no, I’ll deal with it."
