character,dialog
DIAMOND,"Ani, was Robert at the club yesterday?"
ANI,Yeah.
DIAMOND,And did he ask for a dance?
ANI,Yeah.
DIAMOND,And did you give him one?
ANI,Yeah?
DIAMOND,Ok.
ANI,Ok.
ANI,"Dude, the DJ is a fuckin’ asshole. I swear to god."
LULU,He’s Jimmy’s cousin. That’s the only reason he has this gig.
ANI,Fucking attitude on this guy. I gave him my playlist and he said maybe. Fucking maybe.
LULU,And how old is he? Like 40? Shit.
JIMMY,Ani.
ANI,Yeah?
JIMMY,Got a kid that wants someone who knows Russian.
ANI,Your cousin better show some respect around here or he ain’t getting shit from the girls.
JIMMY,I’ll talk with him. C’mon.
ANI,"I’m so deadass right now, Jimmy."
JIMMY,"Seriously, what? What do you want me to do?"
ANI,He gave me attitude when I gave him my playlist.
JIMMY,That’s it? Attitude? I’m so sorry your feelings are hurt but I don’t really give a care. Alright?
JIMMY,I’m dealing with a lot of straight up BS tonight. Let’s go.
ANI,I’m eating here.
DAWN,"That’s why you have tupperware, to keep things fresh. C’mon."
LULU,Where’s what’s-her-name?
DAWN,Who? Katya? She’s been gone for three months.
JIMMY,Lulu... mind your own business.
ANI,Jimmy.
JIMMY,He’s a spender. Let’s go.
JIMMY,"Gentlemen, please meet Ani. She’ll take care of you tonight. Let me know if you need anything."
ANI,"Hey, I’m Ani."
IVAN,"Ivan. Sit down, sit down. You’re a beautiful girl."
ANI,Thank you.
IVAN,"You speak Russian, right?"
ANI,I don’t speak Russian but I know Russian.
ANI,"I can speak Russian but I’d just prefer not to. But you go ahead, speak Russian. I can understand."
IVAN,I don’t understand.
ANI,"Ok, hello Ivan. I’m Ani. This is how I speak Russian. Do you still want me to speak Russian?"
ANI,You see? I’m terrible.
IVAN,You’re not bad.
ANI,Well thank you but I disagree.
IVAN,So how do you know Russian then?
ANI,My grandmother never learned English so... But enough about me. You two from Russia?
IVAN,I am. He lives here.
ANI,Cool. On vacation?
IVAN,"Yes. I guess you could say that. I’m speaking Russian, ok?"
ANI,Whatever you want.
IVAN,Ok. Because I probably sound terrible in English.
ANI,You’re not bad.
IVAN,You need a drink so we can cheers to our bad accents.
ANI,I’d love one.
IVAN,Let’s get a bottle.
ANI,Want to bring it to VIP?
ANI,"No touching, ok?"
IVAN,No touching.
ANI,"Ok, can you sit on your hands for me?"
IVAN,Sit on my hands?
ANI,"Yeah, hands under your legs."
ANI,And you gotta keep them there ok? This is a no-no. But I like you.
IVAN,Do you work outside the club?
ANI,Give me your phone.
ANI,Text me.
VERA,Yo. Yo.
VERA,Did you pick up milk?
ANI,Do you see milk in the fridge?
VERA,No.
ANI,Then I didn’t pick up the fucking milk.
ANI,Hello. I’m here for Mr. Zakharov.
DAY GUARD,Ivan?
ANI,Yeah.
DAY GUARD,Your name?
ANI,Ani
IVAN,Hello. Welcome. Come in.
IVAN,Want something to drink?
ANI,I’ll take a water.
IVAN,Water? You sure? You can have anything you want. Vodka? Tequila? Coca-Cola?
ANI,Water’s good.
IVAN,"Ok, suit yourself. Sparkling or flat?"
ANI,Either is good.
ANI,Wow. Not too shabby.
IVAN,What is “not too shabby?”
ANI,Oh... beautiful. Your home is beautiful.
IVAN,Yeah? Ok. Sparkling.
ANI,Thank you.
IVAN,Bedroom’s upstairs.
IVAN,Excuse the mess. They haven't fixed my bed yet... Is it so difficult?
ANI,Nice view.
IVAN,My view is better.
ANI,Ok. So what are you looking for?
IVAN,Sex.
ANI,"Yeah, I know. I mean... anything special?"
IVAN,"Yeah, special sex."
ANI,Special sex. So... a little bit of everything.
IVAN,That sounds special. Yeah.
ANI,Want to take your clothes off?
IVAN,"Yes, I do."
ANI,Ready to go. Alright.
