character,dialog
VOICE,"Dr Oppenheimer, as we begin, I believe you have a statement to read into the record?"
OPPENHEIMER,"Yes, your honour-"
SECOND VOICE,"We’re not judges, doctor."
OPPENHEIMER,"No. Of course. Members of the Security Board, the so-called derogatory information in your indictment of me cannot be fairly understood except in the context of my life and work. This answer is a summary of relevant aspects of my life in more or less chronological order..."
SENATE AIDE,How long did he testify?
STRAUSS,"I forget. Three days, or so. The whole hearing took a month."
SENATE AIDE,An ordeal.
STRAUSS,"I’ve only read the transcripts, but who’d want to justify their whole life?"
SENATE AIDE,You weren’t there?
STRAUSS,"As Chairman, I wasn’t allowed to be. Are they really going to ask about it? It was years ago."
SENATE AIDE,Four years ago. Oppenheimer still divides America- the committee will want to know where you stood. Ready?
SENATE AIDE,Senator Thurmond asked me to say not to feel you’re on trial.
STRAUSS,"I didn’t, till you said that."
SENATE AIDE,"Really, Mr Strauss-"
STRAUSS,Admiral.
SENATE AIDE,"Admiral Strauss, this is a formality. President Eisenhower’s asked you to be in his cabinet, the Senate has no choice but to confirm you."
STRAUSS,And if they bring up Oppenheimer?
SENATE AIDE,"When they bring up Oppenheimer, answer honestly and no senator can deny that you did your duty. It’ll be uncomfortable... Who’d want to justify their whole life?"
ROBB,Why did you leave the United States?
OPPENHEIMER,I wanted to learn the new physics.
GRAY,Was there nowhere here? I thought Berkeley had the leading theoretical physics department-
OPPENHEIMER,Sure. Once I built it. First I had to go to Europe. I went to Cambridge to work under Patrick Blackett.
ROBB,Were you happier there than in America?
OPPENHEIMER,No. I was homesick. Emotionally immature... troubled by visions of a hidden universe...
OPPENHEIMER,...useless in the lab.
BLACKETT,"Christ, Oppenheimer, have you had any sleep? Start again."
YOUNG OPPENHEIMER,I need to go to the lecture.
BLACKETT,Why?
YOUNG OPPENHEIMER,It’s Niels Bohr.
BLACKETT,"Damn, completely forgot. Let’s go."
BLACKETT,Not you. Finish coating those plates.
BOHR,Quantum physics isn’t a step forward...
BOHR,"...It’s a new way to understand reality. Einstein’s opened a door, now we’re peering through, seeing a world inside our world... a world of energy and paradox that not everyone can accept."
SENATOR MCGEE,"Admiral Strauss, I’m interested in your relationship with Dr J. Robert Oppenheimer. You met in 1947?"
STRAUSS,Correct.
SENATOR MCGEE,You were a commissioner of the Atomic Energy Commission?
STRAUSS,"I was, but I met Robert in my capacity as board member of the Institute for Advanced Study at Princeton. After the war he was world-renowned- the great man of physics..."
STRAUSS,...I was determined to get him to run the Institute.
STRAUSS,"Dr Oppenheimer, an honour."
OPPENHEIMER,Mr Strauss.
STRAUSS,It’s pronounced 'straws'.
OPPENHEIMER,"'Oh-ppenheimer', 'aw-ppenheimer'- any way you say it they know I’m Jewish."
STRAUSS,I’m a proud member of Temple Emmanuel- 'straws' is the Southern pronunciation. Welcome to the Institute. I think you could be very happy here.
OPPENHEIMER,Oh?
STRAUSS,"Well, you’ll love the commute- the position comes with that house for you and your wife."
STRAUSS,And your two children...
STRAUSS,I’m a great admirer of your work.
OPPENHEIMER,"You’re a physicist by training, Mr Strauss?"
STRAUSS,"No, I’m not trained in physics, or anything else. I’m a self-made man."
OPPENHEIMER,I can relate to that...
STRAUSS,Really?
OPPENHEIMER,My father was one.
STRAUSS,This would be your office.
STRAUSS,I’m told he’s there most afternoons.
STRAUSS,I’ve always wondered why you didn’t involved him in the Manhattan Project.
STRAUSS,The greatest scientific mind of our time?
OPPENHEIMER,"Of his time. Einstein published his Theory of Relativity more than forty years ago, but never embraced the quantum world it revealed."
STRAUSS,'God doesn’t play dice.'
OPPENHEIMER,Precisely. You never thought of studying physics formally?
STRAUSS,I had offers. But I chose to sell shoes.
OPPENHEIMER,Lewis Strauss was once a lowly shoe salesman?
STRAUSS,No. Just a shoe salesman. I’ll introduce you-
OPPENHEIMER,No need. I’ve known him for years.
OPPENHEIMER,I struggled badly trying to visualize this new world...
OPPENHEIMER,...you had to retool your mind to see things hovering just out of site...
OPPENHEIMER,...then you could unlock forces never before imagined...
BLACKETT,You alright?
BLACKETT,"Niels, meet J. Robert Oppenheimer."
BOHR,What does the 'J' stand for?
BLACKETT,"Nothing, apparently."
BOHR,You were at my lecture. You asked the only good question.
BLACKETT,Nobody’s denying his insight. It’s his labouratory skills that leave a little to be desired.
YOUNG OPPENHEIMER,I heard you give the same lecture-
BOHR,At Harvard. And you asked the same question. Why ask again?
YOUNG OPPENHEIMER,I hadn’t liked your answer.
BOHR,Did you like it better yesterday?
YOUNG OPPENHEIMER,A lot.
BOHR,"You can lift the rock without being ready for the snake that’s revealed. Now, it seems, you’re ready."
BOHR,You don’t enjoy the lab?
BOHR,"Get out of Cambridge, with its beakers and potions. Go somewhere they’ll let you think... Gottingen."
BLACKETT,Born?
BOHR,Born. Get to Germany. Study under Max Born. Learn the ways of theory. I’ll send word.
YOUNG OPPENHEIMER,Wormhole.
BOHR,How’s your mathematics?
BLACKETT,Not good enough for the physicist he wants to be.
BOHR,"Algebra’s like sheet music. The important thing isn’t can you read music, it’s can you hear it. Can you hear the music, Robert?"
YOUNG OPPENHEIMER,I can.
STRAUSS,Albert...
STRAUSS,What did you say to him?
OPPENHEIMER,"He’s fine. Mr Strauss, there are things in my past you need to be aware of."
STRAUSS,As Chairman of the AEC I have access to your security file. I’ve read it. The job is yours.
OPPENHEIMER,You’re not worried?
STRAUSS,After all you’ve done for your country?
OPPENHEIMER,"Times change, Mr Strauss."
STRAUSS,The purpose of this Institute is to provide a haven for independent minds. You’re the man for the job.
OPPENHEIMER,Then I’ll consider it. And I’ll see you at the AEC meeting tomorrow.
STRAUSS,This is one of the most prestigious appointments in the country...
OPPENHEIMER,With a great commute. That’s why I’m considering it.
SENATOR MCGEE,"So, Dr Oppenheimer brought your attention to his past associations before you appointed him?"
STRAUSS,Yes.
SENATOR MCGEE,And they didn’t concern you?
STRAUSS,Just then I was more concerned about what he’d said to Einstein to sour him on me.
SENATOR MCGEE,But later?
STRAUSS,"Well, we all know what happened later."
OPPENHEIMER,After Gottingen I moved on to Leiden in Holland...
OPPENHEIMER,...where I first met Isidor Rabi...
RABI,A Yank lecturing on new physics? This I have to hear- I’m an American myself.
DUTCH STUDENT,How surprising.
RABI,Let me know if you need help with the English.
RABI,"Wait, what’s he saying?"
YOUNG OPPENHEIMER,"No, thank you."
RABI,It’s a long way to Zurich. You get any skinnier we might lose you between the seat cushions. I’m Rabi.
YOUNG OPPENHEIMER,Oppenheimer.
RABI,I caught your lecture on molecules. Caught some if it- we’re a couple of New York Jews- how do you know Dutch?
YOUNG OPPENHEIMER,I thought I’d better learn it when I got here this semester.
RABI,You learned Dutch in six weeks to give a lecture on quantum mechanics?
YOUNG OPPENHEIMER,I wanted to challenge myself.
RABI,Quantum physics isn’t challenging enough? Schvitzer.
YOUNG OPPENHEIMER,Schvitzer?
RABI,'Show-off.' Dutch in six weeks but you never learned Yiddish?
YOUNG OPPENHEIMER,They don’t speak it so much my side of the park.
RABI,Screw you. Homesick?
YOUNG OPPENHEIMER,You know it.
RABI,Ever get the feeling our kind isn’t entirely welcome here?
YOUNG OPPENHEIMER,Physicists?
RABI,Funny.
YOUNG OPPENHEIMER,Sometimes. Not in the department.
RABI,"They’re all Jewish, too."
RABI,Eat.
RABI,In Zurich there’s a German you have to seek out-
YOUNG OPPENHEIMER,Heisenberg.
HEISENBERG,"Oppenheimer, yes. I liked your paper on molecules."
OPPENHEIMER,Probably because you inspired it.
HEISENBERG,"If I inspire anything else, let me know. We could publish together."
OPPENHEIMER,I have to get back to America.
HEISENBERG,Why? There’s no one there taking quantum mechanics seriously.
OPPENHEIMER,That’s exactly why.
RABI,He’s pining for the canyons of Manhattan.
OPPENHEIMER,The canyons of New Mexico.
HEISENBERG,You’re from New Mexico?
OPPENHEIMER,"New York, but my brother and I have a ranch outside of Santa Fe. That’s the America I miss right now."
HEISENBERG,"Then you best go home, cowboys."
RABI,That’s his thing- me and horses? I don’t think so.
GRAY,Did you ever encounter Heisenberg again?
OPPENHEIMER,Not in person. But you might say our paths crossed.
ROBB,"Doctor, during your time in Europe, you seem to have met a wide range of other countries’ physicists... Born, Bohr, Pauli, Dirac, Einstein, Heisenberg...?"
OPPENHEIMER,That’s right.
ROBB,Any Russians?
OPPENHEIMER,Not that spring to mind. Returning to America I accepted appointments at both Caltech...
OPPENHEIMER,...and up at Berkeley.
OPPENHEIMER,"Dr. Lawrence, I presume."
LAWRENCE,You must be Oppenheimer. I hear you want to start a school of quantum theory.
OPPENHEIMER,I am starting it. Next door.
LAWRENCE,They put you in there?
OPPENHEIMER,I asked for it. I wanted to be close to you experimentalists.
LAWRENCE,Theory will get you only so far. We’re building a machine to accelerate electrons.
OPPENHEIMER,Magnificent.
LAWRENCE,Would you like to help?
OPPENHEIMER,Build it? No. But I’m working on theories I’d like to test with it.
LAWRENCE,When do you start teaching?
OPPENHEIMER,I’ve got my first in an hour.
LAWRENCE,Seminar?
OPPENHEIMER,Pupil.
LAWRENCE,One student? That’s it?
OPPENHEIMER,I’m teaching something no one here’s dreamt of. But once people start hearing what you can do with it...
LAWRENCE,There’s no going back.
STUDENT,"I’m sorry, I must have missed-"
OPPENHEIMER,"No, this is it. Mr Lomanitz, right?"
OPPENHEIMER,What do you know about quantum mechanics?
LOMANITZ,I have a grasp on the basics-
OPPENHEIMER,Then you’re doing it wrong. Is light made up of particles or waves?
OPPENHEIMER,Quantum mechanics says it’s both- how can it be both?
LOMANITZ,It can’t.
OPPENHEIMER,It can’t. But it is. It’s paradoxical and yet... it works.
