oscar_year,award,genero,anger,disgust,fear,joy,neutral,sadness,surprise
2000,Adapted Screenplay,female,23.799999999999997,19.0,4.8,9.5,23.799999999999997,0.0,19.0
2000,Adapted Screenplay,male,11.1,27.800000000000004,11.1,5.6000000000000005,22.2,0.0,22.2
2000,Best Picture,female,0.0,36.4,0.0,9.1,36.4,9.1,9.1
2000,Best Picture,male,11.1,22.2,0.0,11.1,44.4,0.0,11.1
2000,Original Screenplay,female,0.0,36.4,0.0,9.1,36.4,9.1,9.1
2000,Original Screenplay,male,11.1,22.2,0.0,11.1,44.4,0.0,11.1
2001,Adapted Screenplay,female,25.0,6.2,6.2,6.2,50.0,0.0,6.2
2001,Adapted Screenplay,male,21.6,12.2,4.1000000000000005,2.7,48.6,1.4000000000000001,9.5
2001,Best Picture,female,0.0,0.0,0.0,0.0,50.0,0.0,50.0
2001,Best Picture,male,33.300000000000004,3.0,3.0,6.1,36.4,0.0,18.2
2001,Original Screenplay,female,23.1,7.7,0.0,15.4,38.5,0.0,15.4
2001,Original Screenplay,male,12.1,6.1,0.0,12.1,45.5,0.0,24.2
2002,Adapted Screenplay,female,20.0,20.0,0.0,0.0,60.0,0.0,0.0
2002,Adapted Screenplay,male,8.0,8.0,0.0,8.0,52.0,12.0,12.0
2002,Best Picture,female,25.0,25.0,0.0,0.0,50.0,0.0,0.0
2002,Best Picture,male,7.7,7.7,0.0,7.7,53.800000000000004,11.5,11.5
2002,Original Screenplay,female,5.3,15.8,10.5,0.0,47.4,5.3,15.8
2002,Original Screenplay,male,12.0,8.0,4.0,0.0,36.0,0.0,40.0
2003,Adapted Screenplay,female,46.2,7.7,0.0,0.0,7.7,0.0,38.5
2003,Adapted Screenplay,male,37.7,9.8,6.6000000000000005,6.6000000000000005,24.6,0.0,14.799999999999999
2003,Best Picture,female,26.700000000000003,13.3,13.3,0.0,33.300000000000004,6.7,6.7
2003,Best Picture,male,5.8999999999999995,5.8999999999999995,0.0,11.799999999999999,76.5,0.0,0.0
2004,Adapted Screenplay,female,33.300000000000004,0.0,0.0,0.0,33.300000000000004,33.300000000000004,0.0
2004,Adapted Screenplay,male,31.7,9.8,17.1,9.8,12.2,9.8,9.8
2004,Best Picture,female,33.300000000000004,0.0,0.0,0.0,33.300000000000004,33.300000000000004,0.0
2004,Best Picture,male,31.7,9.8,17.1,9.8,12.2,9.8,9.8
2004,Original Screenplay,female,14.299999999999999,0.0,0.0,21.4,35.699999999999996,0.0,28.599999999999998
2004,Original Screenplay,male,5.8999999999999995,5.8999999999999995,0.0,29.4,41.199999999999996,0.0,17.599999999999998
2005,Adapted Screenplay,female,0.0,11.799999999999999,0.0,11.799999999999999,52.900000000000006,5.8999999999999995,17.599999999999998
2005,Adapted Screenplay,male,40.0,13.3,0.0,6.7,26.700000000000003,13.3,0.0
2005,Best Picture,female,28.599999999999998,14.299999999999999,0.0,0.0,42.9,0.0,14.299999999999999
2005,Best Picture,male,35.0,5.0,0.0,0.0,45.0,5.0,10.0
2005,Original Screenplay,female,0.0,28.599999999999998,14.299999999999999,0.0,14.299999999999999,14.299999999999999,28.599999999999998
