,titulo,premio,personaje,genero,agencia,palabras
0,The Lord of the Rings: The Return of the King,Best Picture,ARAGORN,male,0.9076923076923077,493
1,The Lord of the Rings: The Return of the King,Best Picture,ARWEN,female,0.8571428571428571,127
2,The Lord of the Rings: The Return of the King,Best Picture,BILBO,male,1.0,54
3,The Lord of the Rings: The Return of the King,Best Picture,DENETHOR,male,0.9090909090909091,351
4,The Lord of the Rings: The Return of the King,Best Picture,DÉAGOL,male,1.0,9
5,The Lord of the Rings: The Return of the King,Best Picture,ELROND,male,0.918918918918919,261
6,The Lord of the Rings: The Return of the King,Best Picture,FARAMIR,male,0.8235294117647058,125
7,The Lord of the Rings: The Return of the King,Best Picture,FIGWIT,male,1.0,5
8,The Lord of the Rings: The Return of the King,Best Picture,FRODO,male,0.9024390243902439,593
9,The Lord of the Rings: The Return of the King,Best Picture,GALADRIEL,female,0.75,65
10,The Lord of the Rings: The Return of the King,Best Picture,GAMLING,male,1.0,25
11,The Lord of the Rings: The Return of the King,Best Picture,GANDALF,male,0.8928571428571429,1032
12,The Lord of the Rings: The Return of the King,Best Picture,GIMLI,male,1.0,195
13,The Lord of the Rings: The Return of the King,Best Picture,GOLLUM,male,1.0,416
14,The Lord of the Rings: The Return of the King,Best Picture,GORBAG,male,0.9,60
15,The Lord of the Rings: The Return of the King,Best Picture,GOTHMOG,male,1.0,58
16,The Lord of the Rings: The Return of the King,Best Picture,GRIMBOLD,male,1.0,10
17,The Lord of the Rings: The Return of the King,Best Picture,GUARD,male,0.5,15
18,The Lord of the Rings: The Return of the King,Best Picture,IORLAS,male,0.8,25
19,The Lord of the Rings: The Return of the King,Best Picture,KING OF THE DEAD,male,0.625,41
20,The Lord of the Rings: The Return of the King,Best Picture,LEGOLAS,male,0.7368421052631579,143
21,The Lord of the Rings: The Return of the King,Best Picture,MADRIL,male,0.5,8
22,The Lord of the Rings: The Return of the King,Best Picture,MERRY,male,0.9722222222222222,228
23,The Lord of the Rings: The Return of the King,Best Picture,ORC 2,male,1.0,9
24,The Lord of the Rings: The Return of the King,Best Picture,PIPPIN,male,0.9852941176470589,445
25,The Lord of the Rings: The Return of the King,Best Picture,ROHAN MARSHALL,male,1.0,9
26,The Lord of the Rings: The Return of the King,Best Picture,ROHAN SOLDIER,male,1.0,9
27,The Lord of the Rings: The Return of the King,Best Picture,SAM,male,0.9523809523809523,721
28,The Lord of the Rings: The Return of the King,Best Picture,SHAGRAT,male,1.0,64
29,The Lord of the Rings: The Return of the King,Best Picture,SMÉAGOL,male,1.0,244
30,The Lord of the Rings: The Return of the King,Best Picture,SOLDIER 2,male,1.0,4
31,The Lord of the Rings: The Return of the King,Best Picture,THÉODEN,male,0.9122807017543859,421
32,The Lord of the Rings: The Return of the King,Best Picture,TREEBEARD,male,1.0,51
33,The Lord of the Rings: The Return of the King,Best Picture,WITCH KING,male,0.6666666666666666,41
34,The Lord of the Rings: The Return of the King,Best Picture,ÉOMER,male,1.0,76
35,The Lord of the Rings: The Return of the King,Best Picture,ÉOWYN,female,0.96,161
36,American Beauty,Best Picture,ANGELA,female,0.9772727272727273,967
37,American Beauty,Best Picture,BARBARA,female,1.0,31
38,American Beauty,Best Picture,BRAD,male,0.96,158
39,American Beauty,Best Picture,BUDDY,male,1.0,228
40,American Beauty,Best Picture,CAROLYN,female,1.0,1304
41,American Beauty,Best Picture,CATERING BOSS,male,1.0,17
42,American Beauty,Best Picture,COLONEL,male,1.0,294
43,American Beauty,Best Picture,COUNTER GIRL,female,1.0,25
44,American Beauty,Best Picture,DRIVE­THRU GIRL,female,1.0,23
45,American Beauty,Best Picture,JANE,female,0.9867549668874173,861
46,American Beauty,Best Picture,JIM #1,male,1.0,80
47,American Beauty,Best Picture,JIM #2,male,0.9230769230769231,81
48,American Beauty,Best Picture,LESTER,male,0.9878345498783455,2572
49,American Beauty,Best Picture,MANAGER,male,1.0,12
50,American Beauty,Best Picture,RICKY,male,0.9795918367346939,1194
51,American Beauty,Best Picture,TEENAGE GIRL #1,female,1.0,8
52,American Beauty,Best Picture,TEENAGE GIRL #2,female,1.0,26
53,American Beauty,Best Picture,WOMAN #1,female,1.0,18
54,American Beauty,Best Picture,WOMAN #2,female,1.0,23
55,Gladiator,Best Picture,ASSASSIN #1,male,1.0,18
56,Gladiator,Best Picture,ASSASSIN #3,male,1.0,18
57,Gladiator,Best Picture,CASSIUS,male,1.0,313
58,Gladiator,Best Picture,CENTURION,male,1.0,16
59,Gladiator,Best Picture,COMMODUS,male,0.956989247311828,2039
60,Gladiator,Best Picture,FALCO,male,1.0,26
61,Gladiator,Best Picture,GAIUS,male,0.9545454545454546,163
62,Gladiator,Best Picture,GALLUS,male,1.0,24
63,Gladiator,Best Picture,GERMAN PRISONER,male,1.0,79
64,Gladiator,Best Picture,GRACCHUS,male,0.9746835443037974,531
65,Gladiator,Best Picture,HANDMAIDEN,female,1.0,7
66,Gladiator,Best Picture,JUBA,male,0.9852941176470589,403
67,Gladiator,Best Picture,LUCILLA,female,0.9732620320855615,1167
68,Gladiator,Best Picture,LUCIUS,male,0.9411764705882353,88
69,Gladiator,Best Picture,MARCELLUS,male,1.0,103
70,Gladiator,Best Picture,MARCUS,male,0.9401709401709402,825
71,Gladiator,Best Picture,MAXIMUS,male,0.9693877551020408,1328
72,Gladiator,Best Picture,PRAETORIAN GUARD MEMBER,male,1.0,3
73,Gladiator,Best Picture,PROXIMO,male,0.9496402877697842,1145
74,Gladiator,Best Picture,QUINTUS,male,0.9230769230769231,101
75,Gladiator,Best Picture,SCRIBE,male,1.0,41
76,Gladiator,Best Picture,SLAVE TRADER,male,0.9375,123
77,Gladiator,Best Picture,SOLDIER 1,male,0.5,14
78,Gladiator,Best Picture,TITUS,male,0.8,58
79,Gladiator,Best Picture,TRAINER #1,male,1.0,23
80,Gladiator,Best Picture,TRAINER #2,male,1.0,9
81,Gladiator,Best Picture,TRAINER #3,male,1.0,9
82,Gladiator,Best Picture,TRAINER #4,male,1.0,23
83,Gladiator,Best Picture,VALERIUS,male,1.0,28
84,Gladiator,Best Picture,VIBIUS,male,0.9375,101
85,A Beautiful Mind,Best Picture,ADJUNCT,male,1.0,15
86,A Beautiful Mind,Best Picture,ALICIA,female,0.9695652173913043,1329
87,A Beautiful Mind,Best Picture,ANALYST,male,1.0,8
88,A Beautiful Mind,Best Picture,ARCHER,male,1.0,14
89,A Beautiful Mind,Best Picture,BECKY,female,1.0,16
90,A Beautiful Mind,Best Picture,CAPTAIN,male,1.0,20
91,A Beautiful Mind,Best Picture,CHARLES,male,1.0,450
92,A Beautiful Mind,Best Picture,FAT STUDENT,male,1.0,6
93,A Beautiful Mind,Best Picture,FOX,male,0.9622641509433962,350
94,A Beautiful Mind,Best Picture,GENERAL,male,1.0,40
95,A Beautiful Mind,Best Picture,GUARD,male,1.0,9
96,A Beautiful Mind,Best Picture,HORNER,male,0.9,154
97,A Beautiful Mind,Best Picture,KUHN,male,1.0,47
98,A Beautiful Mind,Best Picture,MAN,male,1.0,11
99,A Beautiful Mind,Best Picture,MARCEE,female,1.0,69
100,A Beautiful Mind,Best Picture,MILNOR,male,0.9836065573770492,432
101,A Beautiful Mind,Best Picture,NASH,male,0.9733333333333334,3153
102,A Beautiful Mind,Best Picture,NURSE,female,1.0,5
103,A Beautiful Mind,Best Picture,PARCHER,male,0.9761904761904762,1088
104,A Beautiful Mind,Best Picture,PROFESSOR,male,1.0,22
105,A Beautiful Mind,Best Picture,ROSEN,male,0.9487179487179487,752
106,A Beautiful Mind,Best Picture,SHAPELY,male,0.8571428571428571,75
107,A Beautiful Mind,Best Picture,STUDENT,male,0.7692307692307693,90
108,A Beautiful Mind,Best Picture,TECHNICIAN,male,1.0,4
109,A Beautiful Mind,Best Picture,VAN NEUMANN,male,1.0,301
110,A Beautiful Mind,Best Picture,YOUNG MAN,male,1.0,10
