,titulo,premio,personaje,genero,agencia,palabras
0,The Lord of the Rings: The Return of the King,Best Picture,ARAGORN,male,0.9076923076923077,493
1,The Lord of the Rings: The Return of the King,Best Picture,ARWEN,female,0.8571428571428571,127
2,The Lord of the Rings: The Return of the King,Best Picture,BILBO,male,1.0,54
3,The Lord of the Rings: The Return of the King,Best Picture,DENETHOR,male,0.9090909090909091,351
5,The Lord of the Rings: The Return of the King,Best Picture,ELROND,male,0.918918918918919,261
6,The Lord of the Rings: The Return of the King,Best Picture,FARAMIR,male,0.8235294117647058,125
8,The Lord of the Rings: The Return of the King,Best Picture,FRODO,male,0.9024390243902439,593
9,The Lord of the Rings: The Return of the King,Best Picture,GALADRIEL,female,0.75,65
11,The Lord of the Rings: The Return of the King,Best Picture,GANDALF,male,0.8928571428571429,1032
12,The Lord of the Rings: The Return of the King,Best Picture,GIMLI,male,1.0,195
13,The Lord of the Rings: The Return of the King,Best Picture,GOLLUM,male,1.0,416
14,The Lord of the Rings: The Return of the King,Best Picture,GORBAG,male,0.9,60
15,The Lord of the Rings: The Return of the King,Best Picture,GOTHMOG,male,1.0,58
20,The Lord of the Rings: The Return of the King,Best Picture,LEGOLAS,male,0.7368421052631579,143
22,The Lord of the Rings: The Return of the King,Best Picture,MERRY,male,0.9722222222222222,228
24,The Lord of the Rings: The Return of the King,Best Picture,PIPPIN,male,0.9852941176470589,445
27,The Lord of the Rings: The Return of the King,Best Picture,SAM,male,0.9523809523809523,721
28,The Lord of the Rings: The Return of the King,Best Picture,SHAGRAT,male,1.0,64
29,The Lord of the Rings: The Return of the King,Best Picture,SMÉAGOL,male,1.0,244
31,The Lord of the Rings: The Return of the King,Best Picture,THÉODEN,male,0.9122807017543859,421
32,The Lord of the Rings: The Return of the King,Best Picture,TREEBEARD,male,1.0,51
34,The Lord of the Rings: The Return of the King,Best Picture,ÉOMER,male,1.0,76
35,The Lord of the Rings: The Return of the King,Best Picture,ÉOWYN,female,0.96,161
36,American Beauty,Best Picture,ANGELA,female,0.9772727272727273,967
38,American Beauty,Best Picture,BRAD,male,0.96,158
39,American Beauty,Best Picture,BUDDY,male,1.0,228
40,American Beauty,Best Picture,CAROLYN,female,1.0,1304
42,American Beauty,Best Picture,COLONEL,male,1.0,294
45,American Beauty,Best Picture,JANE,female,0.9867549668874173,861
46,American Beauty,Best Picture,JIM #1,male,1.0,80
47,American Beauty,Best Picture,JIM #2,male,0.9230769230769231,81
48,American Beauty,Best Picture,LESTER,male,0.9878345498783455,2572
50,American Beauty,Best Picture,RICKY,male,0.9795918367346939,1194
57,Gladiator,Best Picture,CASSIUS,male,1.0,313
59,Gladiator,Best Picture,COMMODUS,male,0.956989247311828,2039
61,Gladiator,Best Picture,GAIUS,male,0.9545454545454546,163
63,Gladiator,Best Picture,GERMAN PRISONER,male,1.0,79
64,Gladiator,Best Picture,GRACCHUS,male,0.9746835443037974,531
66,Gladiator,Best Picture,JUBA,male,0.9852941176470589,403
67,Gladiator,Best Picture,LUCILLA,female,0.9732620320855615,1167
68,Gladiator,Best Picture,LUCIUS,male,0.9411764705882353,88
69,Gladiator,Best Picture,MARCELLUS,male,1.0,103
70,Gladiator,Best Picture,MARCUS,male,0.9401709401709402,825
71,Gladiator,Best Picture,MAXIMUS,male,0.9693877551020408,1328
73,Gladiator,Best Picture,PROXIMO,male,0.9496402877697842,1145
74,Gladiator,Best Picture,QUINTUS,male,0.9230769230769231,101
76,Gladiator,Best Picture,SLAVE TRADER,male,0.9375,123
78,Gladiator,Best Picture,TITUS,male,0.8,58
84,Gladiator,Best Picture,VIBIUS,male,0.9375,101
86,A Beautiful Mind,Best Picture,ALICIA,female,0.9695652173913043,1329
91,A Beautiful Mind,Best Picture,CHARLES,male,1.0,450
93,A Beautiful Mind,Best Picture,FOX,male,0.9622641509433962,350
96,A Beautiful Mind,Best Picture,HORNER,male,0.9,154
99,A Beautiful Mind,Best Picture,MARCEE,female,1.0,69
100,A Beautiful Mind,Best Picture,MILNOR,male,0.9836065573770492,432
101,A Beautiful Mind,Best Picture,NASH,male,0.9733333333333334,3153
103,A Beautiful Mind,Best Picture,PARCHER,male,0.9761904761904762,1088
105,A Beautiful Mind,Best Picture,ROSEN,male,0.9487179487179487,752
106,A Beautiful Mind,Best Picture,SHAPELY,male,0.8571428571428571,75
107,A Beautiful Mind,Best Picture,STUDENT,male,0.7692307692307693,90
109,A Beautiful Mind,Best Picture,VAN NEUMANN,male,1.0,301
111,A Beautiful Mind,Best Picture,ZWEIFEL,male,0.9565217391304348,256
112,Chicago,Best Picture,AMOS,male,0.9595959595959596,696
113,Chicago,Best Picture,ANNIE,female,0.9444444444444444,108
115,Chicago,Best Picture,BANDLEADER,male,1.0,288
116,Chicago,Best Picture,BILLY,male,0.9808743169398907,2527
117,Chicago,Best Picture,CASELY,male,0.8125,101
121,Chicago,Best Picture,HARRISON,male,1.0,326
123,Chicago,Best Picture,JUNE,female,1.0,63
125,Chicago,Best Picture,LIZ,female,1.0,94
126,Chicago,Best Picture,MARY SUNSHINE,female,0.9795918367346939,361
127,Chicago,Best Picture,MATRON,female,0.9504950495049505,688
129,Chicago,Best Picture,MONA,female,1.0,66
132,Chicago,Best Picture,NEWSREEL ANNOUNCER,male,1.0,106
135,Chicago,Best Picture,PHOTOGRAPHER,male,0.8333333333333334,66
136,Chicago,Best Picture,ROXIE,female,0.9723756906077348,2403
137,Chicago,Best Picture,ROXIE & VELMA,female,1.0,64
140,Chicago,Best Picture,VELMA,female,1.0,685
142,Crash,Best Picture,ANTHONY,male,0.9844961240310077,893
144,Crash,Best Picture,CAMERON,male,1.0,420
146,Crash,Best Picture,CHOI,male,1.0,58
147,Crash,Best Picture,CHRISTINE,female,0.9605263157894737,472
148,Crash,Best Picture,DANIEL,male,0.9789473684210527,549
150,Crash,Best Picture,DIRK,male,1.0,128
151,Crash,Best Picture,DIXON,male,0.9117647058823529,256
152,Crash,Best Picture,DORRI,female,1.0,141
153,Crash,Best Picture,FARHAD,male,0.9855072463768116,340
155,Crash,Best Picture,FLANAGAN,male,0.9591836734693877,644
156,Crash,Best Picture,FRED,male,0.9,120
158,Crash,Best Picture,GRAHAM,male,0.9014084507042254,433
159,Crash,Best Picture,HANSEN,male,0.9367088607594937,490
160,Crash,Best Picture,JEAN,male,0.9871794871794872,490
161,Crash,Best Picture,KAREN,female,1.0,88
163,Crash,Best Picture,KIM LEE,female,1.0,120
164,Crash,Best Picture,LARA,female,1.0,107
165,Crash,Best Picture,LOUISE,female,1.0,102
166,Crash,Best Picture,LUCIEN,male,1.0,218
167,Crash,Best Picture,MARIA,female,1.0,64
172,Crash,Best Picture,OFFICER HILL,male,0.9166666666666666,120
173,Crash,Best Picture,OFFICER JOHNSON,male,1.0,102
175,Crash,Best Picture,PETER,male,1.0,620
177,Crash,Best Picture,RIA,female,0.9649122807017544,319
178,Crash,Best Picture,RICK,male,0.96875,443
179,Crash,Best Picture,RYAN,male,0.9444444444444444,838
181,Crash,Best Picture,SHANIQUA,female,0.9459459459459459,245
183,Million Dollar Baby,Best Picture,BIG WILLIE,male,0.9512195121951219,222
185,Million Dollar Baby,Best Picture,DANGER,male,1.0,218
187,Million Dollar Baby,Best Picture,EARLINE,female,0.9285714285714286,320
188,Million Dollar Baby,Best Picture,FATHER HORVATH,male,0.9696969696969697,201
189,Million Dollar Baby,Best Picture,FRANKIE,male,0.9807692307692307,3257
193,Million Dollar Baby,Best Picture,MAGGIE,female,0.9889196675900277,2112
201,Million Dollar Baby,Best Picture,REF,male,0.8888888888888888,50
203,Million Dollar Baby,Best Picture,SALLY,female,1.0,89
204,Million Dollar Baby,Best Picture,SCRAP,male,0.9682539682539683,3138
205,Million Dollar Baby,Best Picture,SHAWRELLE,male,0.8125,110
206,The Departed,Best Picture,BANKROBBER,male,0.9090909090909091,92
207,The Departed,Best Picture,BARRIGAN,male,1.0,111
