IMDb_ID,Title,Award,Character,Gender,Words,N_Sentences,Nsubj_I,Object_MeUs,N_FirstPerson_Mentions,Agency_Index,Reliable
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,ARAGORN,male,493,70,12,7,19,0.6316,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,ARWEN,female,127,14,6,2,8,0.75,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,BILBO,male,54,10,5,1,6,0.8333,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,DENETHOR,male,351,37,9,6,15,0.6,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,ELROND,male,261,27,5,2,7,0.7143,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,FARAMIR,male,125,19,4,1,5,0.8,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,FRODO,male,593,104,22,9,31,0.7097,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GALADRIEL,female,65,6,1,0,1,1.0,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GAMLING,male,25,5,0,0,0,,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GANDALF,male,1032,149,4,1,5,0.8,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GIMLI,male,195,29,4,2,6,0.6667,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GOLLUM,male,416,90,1,2,3,0.3333,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GORBAG,male,60,7,2,0,2,1.0,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,GOTHMOG,male,58,14,0,0,0,,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,HEAD ORC,male,16,3,0,0,0,,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,IORLAS,male,25,4,0,0,0,,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,KING OF THE DEAD,male,41,3,0,2,2,0.0,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,LEGOLAS,male,143,17,0,0,0,,False
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,MERRY,male,228,36,6,2,8,0.75,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,PIPPIN,male,445,76,19,8,27,0.7037,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,SAM,male,721,153,28,6,34,0.8235,True
tt0167260,The Lord of the Rings: The Return of the King,Best Picture,SHAGRAT,male,64,9,1,1,2,0.5,False
